# per-window evidence behind the reported selection
# consensus_hz=0.195402297397 agree=27 voting=170 distinct=12 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.309742440838 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.0651340991323 agree=18 input=170 survivors=65 snr_cull=0 sigma_cull=0 neigh_cull=105 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.293103446095,7.97323939732,0.284528881926,0,0,0,0,0,0
1,0,1,0.293103446095,7.97323939732,0.284528881926,0,0,0,0,0,0
2,0,2,0.0325670495661,8.90721383609,0.229739286665,0,0,0,0,0,0
3,0,3,0.0325670495661,8.90721383609,0.229739286665,0,0,0,0,0,0
4,0,4,0.130268198265,13.1346673862,0.51128095911,0,0,0,1,0,1
5,0,5,0.195402297397,8.01822153067,0.448799363757,0,0,0,1,1,1
6,0,6,0.227969346963,10.6353568722,0.503076872223,0,0,0,1,0,1
7,0,7,0.130268198265,7.23575705477,0.492538717538,0,0,0,1,0,1
8,0,8,0.358237545227,5.77852741831,0.446494851549,0,0,0,1,0,1
9,0,9,0.0651340991323,9.42981395978,0.332312842126,0,0,0,1,0,1
10,0,10,0.0651340991323,9.42981395978,0.332312842126,0,0,0,1,0,1
11,0,11,0.162835247831,9.23806807291,0.415997651001,0,0,0,1,0,1
12,0,12,0.162835247831,9.23806807291,0.415997651001,0,0,0,1,0,1
13,0,13,0.0651340991323,5.94327717257,0.497703184157,0,0,0,1,0,1
14,0,14,0.260536396529,7.80391235446,0.384482624426,0,0,0,1,0,1
15,1,0,0.195402297397,14.6224044378,0.412962969307,0,0,0,1,1,1
16,1,1,0.293103446095,4.69765860621,0.413519925705,0,0,0,1,0,1
17,1,2,0.0325670495661,8.90721383609,0.229739286665,0,0,0,0,0,0
18,1,3,0.0325670495661,8.90721383609,0.229739286665,0,0,0,0,0,0
19,1,4,0.358237545227,8.93343218589,0.176307223084,0,0,0,0,0,0
20,1,5,0.130268198265,12.6690409967,0.421034608056,0,0,0,1,0,1
21,1,6,0.130268198265,12.6690409967,0.421034608056,0,0,0,1,0,1
22,1,7,0.227969346963,10.2024343984,0.376090670017,0,0,0,1,0,1
23,1,8,0.0977011486984,6.27134394129,0.443632795491,0,0,0,1,0,1
24,1,9,0.0977011486984,14.3419378759,0.502232657761,0,0,0,1,0,1
25,1,10,0.130268198265,6.74085544766,0.539735973751,0,0,0,1,0,1
26,1,11,0.0651340991323,12.7816306604,0.414523121797,0,0,0,1,0,1
27,1,12,0.0651340991323,13.2120276952,0.417132476203,0,0,0,1,0,1
28,1,13,0.0651340991323,13.2120276952,0.417132476203,0,0,0,1,0,1
29,1,14,0.130268198265,6.28765864911,0.455684006983,0,0,0,1,0,1
30,2,0,0.195402297397,14.6224044378,0.412962969307,0,0,0,1,1,1
31,2,1,0.227969346963,6.38165027724,0.219515932299,0,0,0,0,0,0
32,2,2,0.227969346963,6.38165027724,0.219515932299,0,0,0,0,0,0
33,2,3,0.358237545227,8.93343218589,0.176307223084,0,0,0,0,0,0
34,2,4,0.358237545227,8.93343218589,0.176307223084,0,0,0,0,0,0
35,2,5,0.130268198265,12.6690409967,0.421034608056,0,0,0,1,0,1
36,2,6,0.130268198265,10.458600094,0.422979683768,0,0,0,1,0,1
37,2,7,0.130268198265,10.458600094,0.422979683768,0,0,0,1,0,1
38,2,8,0.0977011486984,6.27134394129,0.443632795491,0,0,0,1,0,1
39,2,9,0.0977011486984,14.3419378759,0.502232657761,0,0,0,1,0,1
40,2,10,0.0977011486984,14.3419378759,0.502232657761,0,0,0,1,0,1
41,2,11,0.0651340991323,12.7816306604,0.414523121797,0,0,0,1,0,1
42,2,12,0.0651340991323,13.2120276952,0.417132476203,0,0,0,1,0,1
43,2,13,0.195402297397,7.40449362201,0.301016404168,0,0,0,0,0,0
44,2,14,0.195402297397,7.40449362201,0.301016404168,0,0,0,0,0,0
45,3,0,0.162835247831,8.94183689925,0.40697715505,0,0,0,1,0,1
46,3,1,0.227969346963,6.38165027724,0.219515932299,0,0,0,0,0,0
47,3,2,0.227969346963,6.38165027724,0.219515932299,0,0,0,0,0,0
48,3,3,0.260536396529,6.4017432602,0.339018590776,0,0,0,1,0,1
49,3,4,0.260536396529,6.4017432602,0.339018590776,0,0,0,1,0,1
50,3,5,0.227969346963,6.35137099013,0.406431609982,0,0,0,1,0,1
51,3,6,0.0651340991323,15.3765074332,0.43182811626,0,0,0,1,0,1
52,3,7,0.0651340991323,15.3765074332,0.43182811626,0,0,0,1,0,1
53,3,8,0.195402297397,12.9498044678,0.498500265915,0,0,0,1,1,1
54,3,9,0.195402297397,12.9498044678,0.498500265915,0,0,0,1,1,1
55,3,10,0.0325670495661,24.3333904795,0.482849875355,0,0,0,1,0,1
56,3,11,0.42337164436,6.90077857598,0.3938904257,0,0,0,1,0,1
57,3,12,0.0977011486984,5.95978272474,0.462384122616,0,0,0,1,0,1
58,3,13,0.195402297397,7.40449362201,0.301016404168,0,0,0,0,0,0
59,3,14,0.195402297397,7.40449362201,0.301016404168,0,0,0,0,0,0
60,4,0,0.130268198265,9.27687576876,0.22650528255,0,0,0,0,0,0
61,4,1,0.0977011486984,9.20584863811,0.423463864048,0,0,0,1,0,1
62,4,2,0.195402297397,9.80790364704,0.456456353551,0,0,0,1,1,1
63,4,3,0.195402297397,9.80790364704,0.456456353551,0,0,0,1,1,1
64,4,4,0.0651340991323,10.2817856476,0.449782529924,0,0,0,1,0,1
65,4,5,0.0651340991323,10.2817856476,0.449782529924,0,0,0,1,0,1
66,4,6,0.0651340991323,15.3765074332,0.43182811626,0,0,0,1,0,1
67,4,7,0.0651340991323,15.3765074332,0.43182811626,0,0,0,1,0,1
68,4,8,0.0977011486984,13.1752727773,0.38671111931,0,0,0,1,0,1
69,4,9,0.0977011486984,13.1752727773,0.38671111931,0,0,0,1,0,1
70,4,10,0.162835247831,11.3731089097,0.498776688392,0,0,0,1,0,1
71,4,11,0.162835247831,11.3731089097,0.498776688392,0,0,0,1,0,1
72,4,12,0.130268198265,10.8135000734,0.404794796373,0,0,0,1,0,1
73,4,13,0.0651340991323,12.1192132016,0.499033268891,0,0,0,1,0,1
74,4,14,0.162835247831,10.5166790045,0.383723505505,0,0,0,1,0,1
75,5,0,0.130268198265,15.1530715374,0.619484881676,0,0,0,1,0,1
76,5,1,0.130268198265,15.1530715374,0.619484881676,0,0,0,1,0,1
77,5,2,0.130268198265,16.0398503903,0.491428329919,0,0,0,1,0,1
78,5,3,0.162835247831,8.86748391626,0.375722234192,0,0,0,1,0,1
79,5,4,0.0651340991323,10.2817856476,0.449782529924,0,0,0,1,0,1
80,5,5,0.0651340991323,10.2817856476,0.449782529924,0,0,0,1,0,1
81,5,6,0.162835247831,11.7449825328,0.393207388131,0,0,0,1,0,1
82,5,7,0.162835247831,11.7449825328,0.393207388131,0,0,0,1,0,1
83,5,8,0.162835247831,14.3672869327,0.477097905485,0,0,0,1,0,1
84,5,9,0.0651340991323,10.7634141634,0.392965230483,0,0,0,1,0,1
85,5,10,0.0651340991323,10.7634141634,0.392965230483,0,0,0,1,0,1
86,5,11,0.227969346963,10.736779604,0.437025653122,0,0,0,1,0,1
87,5,12,0.0977011486984,7.32238676217,0.472384696076,0,0,0,1,0,1
88,5,13,0.0325670495661,12.2542239264,0.406950242067,0,0,0,1,0,1
89,5,14,0.162835247831,10.5166790045,0.383723505505,0,0,0,1,0,1
90,6,0,0.325670495661,6.01111533406,0.329015964854,0,0,0,1,0,1
91,6,1,0.0977011486984,13.9279836462,0.406609160608,0,0,0,1,0,1
92,6,2,0.130268198265,16.0398503903,0.491428329919,0,0,0,1,0,1
93,6,3,0.162835247831,8.86748391626,0.375722234192,0,0,0,1,0,1
94,6,4,0.162835247831,8.86748391626,0.375722234192,0,0,0,1,0,1
95,6,5,0.325670495661,8.11355985174,0.565014991393,0,0,0,1,0,1
96,6,6,0.0651340991323,14.5978584338,0.492054298103,0,0,0,1,0,1
97,6,7,0.0651340991323,13.8792312545,0.524521924106,0,0,0,1,0,1
98,6,8,0.130268198265,17.0119336373,0.388961429761,0,0,0,1,0,1
99,6,9,0.0651340991323,10.7634141634,0.392965230483,0,0,0,1,0,1
100,6,10,0.0651340991323,10.7634141634,0.392965230483,0,0,0,1,0,1
101,6,11,0.130268198265,7.34233774195,0.360629468913,0,0,0,1,0,1
102,6,12,0.130268198265,7.34233774195,0.360629468913,0,0,0,1,0,1
103,6,13,0.227969346963,12.9145865326,0.366455150707,0,0,0,1,0,1
104,6,14,0.0977011486984,5.28162531805,0.367329373656,0,0,0,1,0,1
105,7,0,0.325670495661,6.01111533406,0.329015964854,0,0,0,1,0,1
106,7,1,0.0977011486984,16.2507825691,0.508701127984,0,0,0,1,0,1
107,7,2,0.0977011486984,13.2149576833,0.49839896086,0,0,0,1,0,1
108,7,3,0.293103446095,10.7255930499,0.458321098117,0,0,0,1,0,1
109,7,4,0.293103446095,10.7255930499,0.458321098117,0,0,0,1,0,1
110,7,5,0.195402297397,12.8599530093,0.512929908334,0,0,0,1,1,1
111,7,6,0.195402297397,12.8599530093,0.512929908334,0,0,0,1,1,1
112,7,7,0.0651340991323,14.8021373911,0.464344900652,0,0,0,1,0,1
113,7,8,0.130268198265,13.6504068543,0.434554467097,0,0,0,1,0,1
114,7,9,0.130268198265,13.6504068543,0.434554467097,0,0,0,1,0,1
115,7,10,0.195402297397,5.28798581301,0.349401860194,0,0,0,1,1,1
116,7,11,0.195402297397,5.28798581301,0.349401860194,0,0,0,1,1,1
