# per-window evidence behind the reported selection
# consensus_hz=0.0651340991323 agree=32 voting=171 distinct=11 largest_block=12
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.286383136985 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.0651340991323 agree=21 input=171 survivors=65 snr_cull=0 sigma_cull=0 neigh_cull=106 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.427233726031 median=0.620485269775 n_meeting_0.25=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.293103446095,9.03388756007,0.255032526495,0,0,0,0.744967473505,0,0,0
1,0,1,0.293103446095,9.03388756007,0.255032526495,0,0,0,0.744967473505,0,0,0
2,0,2,0.0977011486984,9.16256423368,0.290198725529,0,0,0,0.709801274471,1,0,1
3,0,3,0.0977011486984,9.16256423368,0.290198725529,0,0,0,0.709801274471,1,0,1
4,0,4,0.130268198265,15.9245814633,0.476426479364,0,0,0,0.523573520636,1,0,1
5,0,5,0.162835247831,8.32739463086,0.434006937412,0,0,0,0.565993062588,1,0,1
6,0,6,0.227969346963,12.1778339554,0.459547953958,0,0,0,0.540452046042,1,0,1
7,0,7,0.325670495661,8.6396949897,0.464284595762,0,0,0,0.535715404238,1,0,1
8,0,8,0.0977011486984,7.74791078078,0.38766563465,0,0,0,0.61233436535,1,0,1
9,0,9,0.0651340991323,6.02489315676,0.278994573107,0,0,0,0.721005426893,0,0,0
10,0,10,0.0651340991323,6.02489315676,0.278994573107,0,0,0,0.721005426893,0,0,0
11,0,11,0.162835247831,9.96345295695,0.379514730225,0,0,0,0.620485269775,1,0,1
12,0,12,0.162835247831,9.96345295695,0.379514730225,0,0,0,0.620485269775,1,0,1
13,0,13,0.0651340991323,5.8121052462,0.455009967494,0,0,0,0.544990032506,1,1,1
14,0,14,0.0325670495661,7.21576102306,0.355199793132,0,0,0,0.644800206868,1,0,1
