# per-window evidence behind the reported selection
# consensus_hz=0.0651340991323 agree=10 voting=54 distinct=9 largest_block=3
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.43188706789 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.260536396529 agree=4 input=54 survivors=8 snr_cull=0 sigma_cull=0 neigh_cull=46 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.13622586422 median=0.649287936222 n_meeting_0.25=2
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.293103446095,9.03388756007,0.255032526495,0,0,0,0.744967473505,0,0,0
1,0,1,0.293103446095,9.03388756007,0.255032526495,0,0,0,0.744967473505,0,0,0
2,0,2,0.0977011486984,9.16256423368,0.290198725529,0,0,0,0.709801274471,0,0,0
3,0,3,0.0977011486984,9.16256423368,0.290198725529,0,0,0,0.709801274471,0,0,0
4,0,4,0.130268198265,15.9245814633,0.476426479364,0,0,0,0.523573520636,1,0,1
5,0,5,0.0325670495661,8.75934281161,0.0689779674699,0,0,0,0.93102203253,0,0,0
6,0,6,0.0325670495661,8.75934281161,0.0689779674699,0,0,0,0.93102203253,0,0,0
7,0,7,0.325670495661,9.66857607439,0.397995258098,0,0,0,0.602004741902,0,0,0
8,0,8,0.0977011486984,7.74791078078,0.38766563465,0,0,0,0.61233436535,0,0,0
9,0,9,0.0651340991323,6.02489315676,0.278994573107,0,0,0,0.721005426893,0,0,0
10,0,10,0.0651340991323,6.02489315676,0.278994573107,0,0,0,0.721005426893,0,0,0
11,0,11,0.162835247831,9.96345295695,0.379514730225,0,0,0,0.620485269775,0,0,0
12,0,12,0.162835247831,9.96345295695,0.379514730225,0,0,0,0.620485269775,0,0,0
13,0,13,0.0651340991323,5.8121052462,0.455009967494,0,0,0,0.544990032506,1,1,1
14,0,14,0.0325670495661,7.21576102306,0.355199793132,0,0,0,0.644800206868,0,0,0
