# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.130268198265 agree=6 voting=25 distinct=6 largest_block=5
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.252533852511 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.227969346963 agree=6 input=25 survivors=11 snr_cull=0 sigma_cull=0 neigh_cull=14 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.494932294978 median=0.565702891311 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=11
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.162835247831,11.9809007442,0.452028729547,0,0,0,0.547971270453,1,0,0
1,0,1,0.162835247831,9.78295429146,0.323595969556,0,0,0,0.676404030444,1,0,1
2,0,2,0.162835247831,9.78295429146,0.323595969556,0,0,0,0.676404030444,1,0,0
3,0,3,0.130268198265,14.001742645,0.43756034661,0,0,0,0.56243965339,1,1,0
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0
5,1,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0
6,1,1,0.130268198265,17.9282760043,0.444752117783,0,0,0,0.555247882217,1,1,0
7,1,2,0.195402297397,13.6844599731,0.505067705022,0,0,0,0.494932294978,1,0,0
8,1,3,0.130268198265,17.1729862572,0.334726216176,0,0,0,0.665273783824,1,1,1
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0
10,2,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,1
11,2,1,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0
12,2,2,0.260536396529,12.1467431589,0.458034915022,0,0,0,0.541965084978,1,0,0
13,2,3,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,1,1
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,1,1
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0
16,3,1,0.227969346963,7.37819439617,0.439762168507,0,0,0,0.560237831493,1,0,1
17,3,2,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,1
18,3,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,1
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,1,0
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0
21,4,1,0.227969346963,11.5236750395,0.450558896459,0,0,0,0.549441103541,1,0,1
22,4,2,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,1
23,4,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,1
24,4,4,0.195402297397,4.85197673795,0.498824901848,0,0,0,0.501175098152,1,0,0
