# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.153367353174 agree=9 voting=25 distinct=11 largest_block=9
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.498623505214 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.153367353174 agree=9 input=25 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=16 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.241387935038 median=0.607254905867 n_meeting_0.25=2
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.981551060316,4.91544478722,0.751604859413,0,0,0,0.555192931268,1,0,0
1,0,1,0.889530648411,4.10177069408,0.976931288535,0,0,0,2.99852935986,1,0,0
2,0,2,0.889530648411,4.10177069408,0.975776774023,0,0,0,2.99852935986,1,0,0
3,0,3,0.582795942062,5.38714786593,0.672139117514,0,0,0,0.567283475393,1,0,0
4,0,4,0.276061235714,3.17687004274,0.718085123345,0,0,0,0.567564200735,1,0,0
5,1,0,0.337408176984,5.56499743883,0.696053228072,0,0,0,0.561047380732,1,0,0
6,1,1,0.153367353174,31.8937151871,0.994807137506,0,0,0,0.607254905867,1,1,1
7,1,2,0.153367353174,31.8937151871,0.994281234947,0,0,0,0.607254905867,1,1,1
8,1,3,0.153367353174,36.7361630879,0.99689586737,0,0,0,0.241704761873,1,1,1
9,1,4,0.582795942062,5.38714786593,0.711779406435,0,0,0,0.567283475393,1,0,0
10,2,0,0.184040823809,4.16612144382,0.725094274986,0,0,0,0.609533370447,1,0,0
11,2,1,0.153367353174,31.8937151871,0.995119735286,0,0,0,0.607254905867,1,1,1
12,2,2,0.153367353174,31.8937151871,0.990796204073,0,0,0,0.607254905867,1,1,1
13,2,3,0.153367353174,35.9523990332,0.995005007027,0,0,0,0.607479283069,1,1,1
14,2,4,0.766836765872,3.51284625674,0.672129374723,0,0,0,0.578197226061,1,0,0
15,3,0,0.184040823809,4.16612144382,0.742907137005,0,0,0,0.609533370447,1,0,0
16,3,1,0.153367353174,31.5626175305,0.997247010429,0,0,0,0.241387935038,1,1,1
17,3,2,0.153367353174,35.9523990332,0.994336656399,0,0,0,0.607479283069,1,1,1
18,3,3,0.153367353174,35.9523990332,0.994826364992,0,0,0,0.607479283069,1,1,1
19,3,4,0.276061235714,5.58983897407,0.672124715133,0,0,0,0.520449367183,1,0,0
20,4,0,0.429428588888,4.45700178257,0.678650353878,0,0,0,0.557258748784,1,0,0
21,4,1,1.19626535476,3.82455590287,0.676620996937,0,0,0,0.573665267273,1,0,0
22,4,2,0.766836765872,5.31661964639,0.977614313232,0,0,0,2.9191868808,1,0,0
23,4,3,0.766836765872,5.31661964639,0.977327817246,0,0,0,2.9191868808,1,0,0
24,4,4,1.3189592373,3.7918810583,0.647032073771,0,0,0,0.533144212675,1,0,0
