# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=11 voting=19 distinct=5 largest_block=11
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.249972869434 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=10 input=19 survivors=11 snr_cull=0 sigma_cull=0 neigh_cull=8 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.500054261131 median=0.565702891311 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=11
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,11.9809007442,0.452028729547,0,0,0,0.547971270453,1,1,0,5.95914314687e-05,10.7864415453
1,0,1,0.162835247831,9.78295429146,0.323595969556,0,0,0,0.676404030444,1,1,1,3.00947883541e-05,9.17795620449
2,0,2,0.162835247831,38.5704103643,0.444212069687,0,0,0,0.555787930313,1,1,1,3.25676877952e-05,49.4428780569
3,0,3,0.162835247831,38.5704103643,0.444212069687,0,0,0,0.555787930313,1,1,1,3.25676877952e-05,49.4428780569
4,0,4,0.162835247831,39.1273235286,0.419218609836,0,0,0,0.580781390164,1,1,1,3.30195477304e-05,51.259201583
5,1,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
6,1,1,0.130268198265,17.9282760043,0.444752117783,0,0,0,0.555247882217,1,0,0,4.29388346445e-05,8.51709425431
7,1,2,0.162835247831,38.5704103643,0.444212069687,0,0,0,0.555787930313,1,1,1,3.25676877952e-05,49.4428780569
8,1,3,0.162835247831,38.5704103643,0.444212069687,0,0,0,0.555787930313,1,1,1,3.25676877952e-05,49.4428780569
9,1,4,0.162835247831,39.1273235286,0.419218609836,0,0,0,0.580781390164,1,1,1,3.30195477304e-05,51.259201583
10,2,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,1,2.24569501728e-05,4.17085846635
11,2,1,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
12,2,2,0.162835247831,38.4151814497,0.434262729996,0,0,0,0.565737270004,1,1,1,3.26743505418e-05,49.612520947
13,2,3,0.162835247831,39.0472646748,0.43001994275,0,0,0,0.56998005725,1,1,1,3.28990373105e-05,51.0972279788
14,2,4,0.162835247831,39.0472646748,0.43001994275,0,0,0,0.56998005725,1,1,1,3.28990373105e-05,51.0972279788
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
16,3,1,0.227969346963,7.37819439617,0.439762168507,0,0,0,0.560237831493,1,0,0,3.04500120108e-05,7.20839430763
17,3,2,0.227969346963,16.5992401884,0,0,0,0,1.39781577452,0,0,0,7.61752997082e-06,1.13390675821
18,3,3,1.27011493308,8.77388976741,0,0,0,0,2.31069270972,0,0,0,1.7739162236e-06,0.1804912879
19,3,4,1.27011493308,8.77388976741,0,0,0,0,2.31069270972,0,0,0,1.7739162236e-06,0.1804912879
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.227969346963,11.5236750395,0.450558896459,0,0,0,0.549441103541,1,0,0,2.53685710852e-06,0.453470861068
22,4,2,0.227969346963,16.5992401884,0,0,0,0,1.39781577452,0,0,0,7.61752997082e-06,1.13390675821
23,4,3,0.130268198265,5.33446643479,0,0,0,0,2.19393832928,0,0,0,3.54956521097e-06,0.432738871256
24,4,4,0.130268198265,5.33446643479,0,0,0,0,2.19393832928,0,0,0,3.54956521097e-06,0.432738871256
