# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.0920204119046 agree=4 voting=25 distinct=13 largest_block=2
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.49488693508 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=1.71771435555 agree=4 input=25 survivors=6 snr_cull=0 sigma_cull=0 neigh_cull=19 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.00567104862816 median=0.518674575441 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=6
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.705489824602,6.30850059211,0.969872634238,0,0,0,2.39564407552,1,0,0
1,0,1,0.0920204119046,17.2253430837,0.907380574584,0,0,0,0.796918381215,1,1,0
2,0,2,0.0920204119046,17.2253430837,0.906149348535,0,0,0,0.796918381215,1,1,0
3,0,3,1.74838782619,8.17583977432,0.98977387016,0,0,0,0.254863115105,1,0,0
4,0,4,0.797510236506,6.27313283185,0.60798221467,0,0,0,0.527918104858,1,0,0
5,1,0,1.44165311984,5.3651468429,0.881776946581,0,0,0,0.884219254557,1,0,0
6,1,1,1.93242865,6.74062692689,0.908924427642,0,0,0,0.0123913069193,1,0,1
7,1,2,1.93242865,6.74062692689,0.879064891576,0,0,0,0.0123913069193,1,0,0
8,1,3,1.74838782619,3.51207146333,0.968569356988,0,0,0,0.00580665704079,1,0,0
9,1,4,0.521449000793,4.56789470987,0.589601197707,0,0,0,0.541245884758,1,0,0
10,2,0,0.153367353174,3.26097715532,0.61869102726,0,0,0,0.508376713183,1,0,0
11,2,1,1.93242865,6.74062692689,0.901233716879,0,0,0,0.0123913069193,1,0,1
12,2,2,1.71771435555,6.88803303424,0.802881568386,0,0,0,0.0121545229615,1,0,1
13,2,3,1.71771435555,6.88803303424,0.901096421889,0,0,0,0.0121545229615,1,0,1
14,2,4,0.521449000793,4.56789470987,0.600956056662,0,0,0,0.541245884758,1,0,0
15,3,0,0.797510236506,3.64269794474,0.573846327884,0,0,0,0.518674575441,1,0,0
16,3,1,1.93242865,3.96846623547,0.968637696354,0,0,0,0.00567104862816,1,0,0
17,3,2,1.71771435555,6.88803303424,0.879074011377,0,0,0,0.0121545229615,1,0,1
18,3,3,1.71771435555,6.88803303424,0.908881493584,0,0,0,0.0121545229615,1,0,1
19,3,4,1.59502047301,3.93020338688,0.882263946,0,0,0,1.02307494805,1,0,0
20,4,0,1.07357147222,4.19260092188,0.534376745222,0,0,0,0.522674681148,1,0,0
21,4,1,1.90175517936,7.84033597642,0.989597424317,0,0,0,0.254415835795,1,0,0
22,4,2,0.0920204119046,13.5746961917,0.906059371914,0,0,0,0.796949345117,1,1,0
23,4,3,0.0920204119046,13.5746961917,0.907496186874,0,0,0,0.796949345117,1,1,0
24,4,4,0.306734706349,3.96291404073,0.970349696935,0,0,0,2.4037510705,1,0,0
