# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=10 voting=14 distinct=3 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.446691674197 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=14 survivors=10 snr_cull=0 sigma_cull=0 neigh_cull=4 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.106616651606 median=0.547971270453 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=10
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,11.9809007442,0.452028729547,0,0,0,0.547971270453,1,1,0,5.95914314687e-05,10.7864415453
1,0,1,0.162835247831,9.78295429146,0.323595969556,0,0,0,0.676404030444,0,0,0,3.00947883541e-05,9.17795620449
2,0,2,1.46551723048,8.317270063,0,0,0,0,2.00829712637,0,0,0,6.32307071773e-06,0.658237329515
3,0,3,1.46551723048,8.317270063,0,0,0,0,2.00829712637,0,0,0,6.32307071773e-06,0.658237329515
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
5,1,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
6,1,1,0.130268198265,17.9282760043,0.444752117783,0,0,0,0.555247882217,0,0,0,4.29388346445e-05,8.51709425431
7,1,2,0.162835247831,30.6455668622,0.893375259967,0,0,0,0.106624740033,1,1,1,9.84029122046e-08,0.287566427918
8,1,3,0.162835247831,30.6455668622,0.893375259967,0,0,0,0.106624740033,1,1,1,9.84029122046e-08,0.287566427918
9,1,4,0.162835247831,38.4497835226,0.883482331285,0,0,0,0.116517668715,1,1,1,1.17850903266e-07,0.3467256591
10,2,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,1,2.24569501728e-05,4.17085846635
11,2,1,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
12,2,2,0.162835247831,30.6455668622,0.893375259967,0,0,0,0.106624740033,1,1,1,9.84029122046e-08,0.287566427918
13,2,3,0.162835247831,30.6455668622,0.893375259967,0,0,0,0.106624740033,1,1,1,9.84029122046e-08,0.287566427918
14,2,4,0.162835247831,38.0015873822,0.884084500491,0,0,0,0.115915499509,1,1,1,1.16615866583e-07,0.341361517967
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
16,3,1,0.227969346963,7.37819439617,0.439762168507,0,0,0,0.560237831493,0,0,0,3.04500120108e-05,7.20839430763
17,3,2,0.162835247831,30.0925827978,0.893383348394,0,0,0,0.106616651606,1,1,1,1.00585305104e-07,0.296210367267
18,3,3,0.162835247831,38.0015873822,0.884084500491,0,0,0,0.115915499509,1,1,1,1.16615866583e-07,0.341361517967
19,3,4,0.162835247831,38.0015873822,0.884084500491,0,0,0,0.115915499509,1,1,1,1.16615866583e-07,0.341361517967
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.227969346963,11.5236750395,0.450558896459,0,0,0,0.549441103541,1,0,0,2.53685710852e-06,0.453470861068
22,4,2,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,0,0,0,2.21698859192e-06,0.28923876838
23,4,3,1.43295018091,4.61405957243,0,0,0,0,2.02869004679,0,0,0,8.12031648081e-06,0.808986094891
24,4,4,1.43295018091,4.61405957243,0,0,0,0,2.02869004679,0,0,0,8.12031648081e-06,0.808986094891
