# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=9 voting=12 distinct=3 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.446778336402 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=12 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=3 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.106443327197 median=0.56243965339 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=9
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.781609189587,5.24462981874,0,0,0,0,1.80543411372,0,0,0,1.06581159619e-06,0.120925029824
1,0,1,0.781609189587,5.24462981874,0,0,0,0,1.80543411372,0,0,0,1.06581159619e-06,0.120925029824
2,0,2,0.162835247831,8.91350259242,0,0,0,0,1.14457487052,0,0,0,2.72518937917e-05,8.11410993585
3,0,3,0.130268198265,14.001742645,0.43756034661,0,0,0,0.56243965339,0,0,0,5.79017420244e-05,14.0175544295
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
5,1,0,1.40038313134,5.0296931992,0,0,0,0,1.99806966629,0,0,0,2.80387822288e-06,0.27531571057
6,1,1,1.40038313134,5.0296931992,0,0,0,0,1.99806966629,0,0,0,2.80387822288e-06,0.27531571057
7,1,2,0.195402297397,13.6844599731,0.505067705022,0,0,0,0.494932294978,1,0,0,6.22316815399e-06,1.70929598475
8,1,3,0.130268198265,17.1729862572,0.334726216176,0,0,0,0.665273783824,0,0,0,3.71656678912e-05,7.71169923282
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.162835247831,30.7733157767,0.893556672803,0,0,0,0.106443327197,1,1,1,1.02503422949e-07,0.298836201068
11,2,1,0.162835247831,30.7733157767,0.893556672803,0,0,0,0.106443327197,1,1,1,1.02503422949e-07,0.298836201068
12,2,2,0.162835247831,38.8556533199,0.883431129688,0,0,0,0.116568870312,1,1,1,1.19676960975e-07,0.352694746971
13,2,3,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,0,0,0,5.97755058545e-05,18.3482049614
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,0,0,0,5.97755058545e-05,18.3482049614
15,3,0,0.162835247831,30.7733157767,0.893556672803,0,0,0,0.106443327197,1,1,1,1.02503422949e-07,0.298836201068
16,3,1,0.162835247831,30.7733157767,0.893556672803,0,0,0,0.106443327197,1,1,1,1.02503422949e-07,0.298836201068
17,3,2,0.162835247831,37.7132968552,0.884189909201,0,0,0,0.115810090799,1,1,1,1.20330440946e-07,0.350868921541
18,3,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,0,0,0,2.21698859192e-06,0.28923876838
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.162835247831,29.8452517995,0.893456958515,0,0,0,0.106543041485,1,1,1,9.84468868553e-08,0.28892288757
21,4,1,0.162835247831,37.7132968552,0.884189909201,0,0,0,0.115810090799,1,1,1,1.20330440946e-07,0.350868921541
22,4,2,0.162835247831,37.7132968552,0.884189909201,0,0,0,0.115810090799,1,1,1,1.20330440946e-07,0.350868921541
23,4,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,0,0,0,2.21698859192e-06,0.28923876838
24,4,4,0.195402297397,4.85197673795,0.498824901848,0,0,0,0.501175098152,1,0,0,4.80133291341e-06,1.43809133473
