# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=10 voting=13 distinct=3 largest_block=10
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.446752521948 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=13 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=4 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.106494956104 median=0.547971270453 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=9
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,11.9809007442,0.452028729547,0,0,0,0.547971270453,1,1,0,5.95914314687e-05,10.7864415453
1,0,1,0.162835247831,30.9609503808,0.893505043896,0,0,0,0.106494956104,1,1,1,1.03043938666e-07,0.300642301922
2,0,2,0.162835247831,30.9609503808,0.893505043896,0,0,0,0.106494956104,1,1,1,1.03043938666e-07,0.300642301922
3,0,3,0.162835247831,38.5670222909,0.883348250472,0,0,0,0.116651749528,1,1,1,1.23215645467e-07,0.362759475046
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
5,1,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
6,1,1,0.162835247831,30.9609503808,0.893505043896,0,0,0,0.106494956104,1,1,1,1.03043938666e-07,0.300642301922
7,1,2,0.162835247831,30.9609503808,0.893505043896,0,0,0,0.106494956104,1,1,1,1.03043938666e-07,0.300642301922
8,1,3,0.162835247831,38.1895306491,0.884101531461,0,0,0,0.115898468539,1,1,1,1.20246845449e-07,0.351783455262
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
11,2,1,0.162835247831,30.2291093645,0.89343610227,0,0,0,0.10656389773,1,1,1,1.01031709516e-07,0.29713244499
12,2,2,0.162835247831,38.1895306491,0.884101531461,0,0,0,0.115898468539,1,1,1,1.20246845449e-07,0.351783455262
13,2,3,0.162835247831,38.1895306491,0.884101531461,0,0,0,0.115898468539,1,1,1,1.20246845449e-07,0.351783455262
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,0,0,0,5.97755058545e-05,18.3482049614
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
16,3,1,0.227969346963,7.37819439617,0.439762168507,0,0,0,0.560237831493,0,0,0,3.04500120108e-05,7.20839430763
17,3,2,1.59578542874,9.81209061765,0,0,0,0,1.99873818349,0,0,0,6.76732938103e-06,0.741333130272
18,3,3,1.59578542874,9.81209061765,0,0,0,0,1.99873818349,0,0,0,6.76732938103e-06,0.741333130272
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.293103446095,7.32770110747,0,0,0,0,1.44066794532,0,0,0,1.5489683318e-05,1.69421520109
22,4,2,1.17241378438,4.29975231789,0,0,0,0,1.85790698884,0,0,0,4.82139971377e-06,0.505755287926
23,4,3,1.17241378438,4.29975231789,0,0,0,0,1.85790698884,0,0,0,4.82139971377e-06,0.505755287926
24,4,4,0.227969346963,10.4631609523,0.34140574527,0,0,0,0.65859425473,0,0,0,2.37265627645e-05,3.15428235997
