# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=9 voting=11 distinct=3 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.446808970412 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=11 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=2 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.106382059176 median=0.565702891311 n_meeting_0.25=9
# passed_cull_source=selector expected_sum=9
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,30.649154799,0.893607056396,0,0,0,0.106392943604,1,1,1,1.00665084325e-07,0.293285901281
1,0,1,0.162835247831,30.649154799,0.893607056396,0,0,0,0.106392943604,1,1,1,1.00665084325e-07,0.293285901281
2,0,2,0.162835247831,38.5214953271,0.883569140719,0,0,0,0.116430859281,1,1,1,1.19585171938e-07,0.351934460125
3,0,3,0.130268198265,14.001742645,0.43756034661,0,0,0,0.56243965339,0,0,0,5.79017420244e-05,14.0175544295
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
5,1,0,0.162835247831,30.649154799,0.893607056396,0,0,0,0.106392943604,1,1,1,1.00665084325e-07,0.293285901281
6,1,1,0.162835247831,30.649154799,0.893607056396,0,0,0,0.106392943604,1,1,1,1.00665084325e-07,0.293285901281
7,1,2,0.162835247831,38.219078671,0.883990709883,0,0,0,0.116009290117,1,1,1,1.21499787579e-07,0.35472551062
8,1,3,0.130268198265,17.1729862572,0.334726216176,0,0,0,0.665273783824,0,0,0,3.71656678912e-05,7.71169923282
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,0,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.162835247831,30.0183712259,0.893617940824,0,0,0,0.106382059176,1,1,1,9.85445049032e-08,0.289729044343
11,2,1,0.162835247831,38.219078671,0.883990709883,0,0,0,0.116009290117,1,1,1,1.21499787579e-07,0.35472551062
12,2,2,0.162835247831,38.219078671,0.883990709883,0,0,0,0.116009290117,1,1,1,1.21499787579e-07,0.35472551062
13,2,3,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,0,0,0,5.97755058545e-05,18.3482049614
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,0,0,0,5.97755058545e-05,18.3482049614
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
16,3,1,1.56321837917,9.13174910026,0,0,0,0,1.99349520187,0,0,0,4.55653173186e-06,0.435640789377
17,3,2,1.56321837917,9.13174910026,0,0,0,0,1.99349520187,0,0,0,4.55653173186e-06,0.435640789377
18,3,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,0,0,0,2.21698859192e-06,0.28923876838
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,0,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.293103446095,10.45357506,0,0,0,0,1.73975742512,0,0,0,3.47460330498e-05,3.46567610333
22,4,2,0.293103446095,10.45357506,0,0,0,0,1.73975742512,0,0,0,3.47460330498e-05,3.46567610333
23,4,3,0.0977011486984,17.4489178018,0.411705324311,0,0,0,0.588294675689,0,0,0,7.90836181947e-06,1.41176600226
24,4,4,0.195402297397,4.85197673795,0.498824901848,0,0,0,0.501175098152,1,0,0,4.80133291341e-06,1.43809133473
