# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=9 voting=20 distinct=5 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.252533852511 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=20 survivors=12 snr_cull=0 sigma_cull=0 neigh_cull=8 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.494932294978 median=0.581028311353 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=12
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.781609189587,5.20831716736,0,0,0,0,1.82284798107,0,0,0,1.00202491697e-06,0.114167078097
1,0,1,0.781609189587,5.20831716736,0,0,0,0,1.82284798107,0,0,0,1.00202491697e-06,0.114167078097
2,0,2,0.162835247831,10.8025007286,0,0,0,0,1.14066174706,0,0,0,3.33866828052e-05,10.5515567872
3,0,3,0.130268198265,14.001742645,0.43756034661,0,0,0,0.56243965339,1,0,0,5.79017420244e-05,14.0175544295
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
5,1,0,1.33524903221,6.4168723122,0,0,0,0,1.94182336338,0,0,0,9.63370490571e-07,0.0950544777417
6,1,1,1.33524903221,6.4168723122,0,0,0,0,1.94182336338,0,0,0,9.63370490571e-07,0.0950544777417
7,1,2,0.195402297397,13.6844599731,0.505067705022,0,0,0,0.494932294978,1,0,0,6.22316815399e-06,1.70929598475
8,1,3,0.130268198265,17.1729862572,0.334726216176,0,0,0,0.665273783824,1,0,1,3.71656678912e-05,7.71169923282
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.162835247831,38.5250516359,0.4440387659,0,0,0,0.5559612341,1,1,1,3.26403035655e-05,49.395261444
11,2,1,0.162835247831,38.5250516359,0.4440387659,0,0,0,0.5559612341,1,1,1,3.26403035655e-05,49.395261444
12,2,2,0.162835247831,39.1476745694,0.418971688647,0,0,0,0.581028311353,1,1,1,3.2966649717e-05,51.2443529602
13,2,3,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,0,1,5.97755058545e-05,18.3482049614
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,0,1,5.97755058545e-05,18.3482049614
15,3,0,0.162835247831,38.5250516359,0.4440387659,0,0,0,0.5559612341,1,1,1,3.26403035655e-05,49.395261444
16,3,1,0.162835247831,38.5250516359,0.4440387659,0,0,0,0.5559612341,1,1,1,3.26403035655e-05,49.395261444
17,3,2,0.162835247831,39.1476745694,0.418971688647,0,0,0,0.581028311353,1,1,1,3.2966649717e-05,51.2443529602
18,3,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,0,2.21698859192e-06,0.28923876838
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.162835247831,38.4899894736,0.434524933395,0,0,0,0.565475066605,1,1,1,3.25763943448e-05,49.5514538347
21,4,1,0.162835247831,39.0361834003,0.430031399906,0,0,0,0.569968600094,1,1,1,3.29413518482e-05,51.0329999068
22,4,2,0.162835247831,39.0361834003,0.430031399906,0,0,0,0.569968600094,1,1,1,3.29413518482e-05,51.0329999068
23,4,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,0,2.21698859192e-06,0.28923876838
24,4,4,0.195402297397,4.85197673795,0.498824901848,0,0,0,0.501175098152,1,0,0,4.80133291341e-06,1.43809133473
