# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=10 voting=20 distinct=6 largest_block=10
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.249972869434 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=20 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=11 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.500054261131 median=0.570377897052 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=9
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,11.9809007442,0.452028729547,0,0,0,0.547971270453,1,1,0,5.95914314687e-05,10.7864415453
1,0,1,0.162835247831,38.5494431266,0.443872144912,0,0,0,0.556127855088,1,1,1,3.26378256284e-05,49.4836237534
2,0,2,0.162835247831,38.5494431266,0.443872144912,0,0,0,0.556127855088,1,1,1,3.26378256284e-05,49.4836237534
3,0,3,0.162835247831,39.1090423263,0.418994927199,0,0,0,0.581005072801,1,1,1,3.30723634331e-05,51.2543983321
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
5,1,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
6,1,1,0.162835247831,38.5494431266,0.443872144912,0,0,0,0.556127855088,1,1,1,3.26378256284e-05,49.4836237534
7,1,2,0.162835247831,38.5494431266,0.443872144912,0,0,0,0.556127855088,1,1,1,3.26378256284e-05,49.4836237534
8,1,3,0.162835247831,39.1090423263,0.418994927199,0,0,0,0.581005072801,1,1,1,3.30723634331e-05,51.2543983321
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.195402297397,14.8449806536,0.499945738869,0,0,0,0.500054261131,1,0,0,2.24569501728e-05,4.17085846635
11,2,1,0.162835247831,38.4724011042,0.433984680235,0,0,0,0.566015319765,1,1,1,3.26252750405e-05,49.6667362691
12,2,2,0.162835247831,39.0740448946,0.429622102948,0,0,0,0.570377897052,1,1,1,3.29750315354e-05,51.2407619872
13,2,3,0.162835247831,39.0740448946,0.429622102948,0,0,0,0.570377897052,1,1,1,3.29750315354e-05,51.2407619872
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,0,0,5.97755058545e-05,18.3482049614
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
16,3,1,0.227969346963,7.37819439617,0.439762168507,0,0,0,0.560237831493,1,0,0,3.04500120108e-05,7.20839430763
17,3,2,1.56321837917,8.30514314142,0,0,0,0,1.99486255046,0,0,0,3.5282870401e-07,0.0364523411835
18,3,3,1.56321837917,8.30514314142,0,0,0,0,1.99486255046,0,0,0,3.5282870401e-07,0.0364523411835
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.293103446095,7.12489693692,0,0,0,0,1.43534004125,0,0,0,1.52808240514e-05,1.67355628696
22,4,2,0.977011486984,4.92970109346,0,0,0,0,1.8530171044,0,0,0,2.79731053831e-06,0.283283689303
23,4,3,0.977011486984,4.92970109346,0,0,0,0,1.8530171044,0,0,0,2.79731053831e-06,0.283283689303
24,4,4,0.227969346963,10.4630112886,0.342741848696,0,0,0,0.657258151304,1,0,0,2.37253825785e-05,3.15512183581
