# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.239889707667 t_sap_s=2.39909322525
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.162835247831 agree=9 voting=21 distinct=6 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.249412450924 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.162835247831 agree=9 input=21 survivors=12 snr_cull=0 sigma_cull=0 neigh_cull=9 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.501175098152 median=0.580715015396 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=12
# probe_hz=0.163 probe_bin=5 probe_bin_hz=0.162835247831
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.162835247831,38.5424625173,0.444403147525,0,0,0,0.555596852475,1,1,1,3.25828353795e-05,49.4171583921
1,0,1,0.162835247831,38.5424625173,0.444403147525,0,0,0,0.555596852475,1,1,1,3.25828353795e-05,49.4171583921
2,0,2,0.162835247831,39.1123390719,0.419284984604,0,0,0,0.580715015396,1,1,1,3.29795621114e-05,51.1830245441
3,0,3,0.130268198265,14.001742645,0.43756034661,0,0,0,0.56243965339,1,0,0,5.79017420244e-05,14.0175544295
4,0,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
5,1,0,0.162835247831,38.5424625173,0.444403147525,0,0,0,0.555596852475,1,1,1,3.25828353795e-05,49.4171583921
6,1,1,0.162835247831,38.5424625173,0.444403147525,0,0,0,0.555596852475,1,1,1,3.25828353795e-05,49.4171583921
7,1,2,0.162835247831,39.1123390719,0.419284984604,0,0,0,0.580715015396,1,1,1,3.29795621114e-05,51.1830245441
8,1,3,0.130268198265,17.1729862572,0.334726216176,0,0,0,0.665273783824,1,0,1,3.71656678912e-05,7.71169923282
9,1,4,0.260536396529,5.45632670408,0.350712063778,0,0,0,0.649287936222,1,0,0,1.00953047384e-05,1.59944392868
10,2,0,0.162835247831,38.4827093305,0.434347928097,0,0,0,0.565652071903,1,1,1,3.25692070896e-05,49.6799491568
11,2,1,0.162835247831,39.0530627754,0.429757896885,0,0,0,0.570242103115,1,1,1,3.29868889903e-05,51.1239838094
12,2,2,0.162835247831,39.0530627754,0.429757896885,0,0,0,0.570242103115,1,1,1,3.29868889903e-05,51.1239838094
13,2,3,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,0,1,5.97755058545e-05,18.3482049614
14,2,4,0.130268198265,17.6259596433,0.368095486751,0,0,0,0.631904513249,1,0,1,5.97755058545e-05,18.3482049614
15,3,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
16,3,1,1.56321837917,6.51445971892,0,0,0,0,1.98650348303,0,0,0,4.18398576367e-06,0.432257706766
17,3,2,1.56321837917,6.51445971892,0,0,0,0,1.98650348303,0,0,0,4.18398576367e-06,0.432257706766
18,3,3,0.227969346963,14.21305435,0.356174531981,0,0,0,0.643825468019,1,0,0,2.21698859192e-06,0.28923876838
19,3,4,0.130268198265,15.4569156075,0.482318498455,0,0,0,0.517681501545,1,0,0,7.93230564269e-05,16.3119599576
20,4,0,0.0977011486984,8.7564642227,0.434297108689,0,0,0,0.565702891311,1,0,0,1.77683058546e-05,1.99129926658
21,4,1,0.293103446095,10.2959529279,0,0,0,0,1.75195934692,0,0,0,3.6102049987e-05,3.58408677592
22,4,2,0.293103446095,10.2959529279,0,0,0,0,1.75195934692,0,0,0,3.6102049987e-05,3.58408677592
23,4,3,0.0977011486984,17.4463978523,0.410264913741,0,0,0,0.589735086259,1,0,0,7.90904635672e-06,1.41116866107
24,4,4,0.195402297397,4.85197673795,0.498824901848,0,0,0,0.501175098152,1,0,0,4.80133291341e-06,1.43809133473
