# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.245387765079 agree=5 voting=25 distinct=12 largest_block=4
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.455197745801 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.490775530158 agree=4 input=25 survivors=6 snr_cull=0 sigma_cull=0 neigh_cull=19 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.493567549146 median=0.590263567292 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=6
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.613469412697,7.29632267125,0.680257037767,0,0,0,0.569471843229,1,0,0
1,0,1,0.398755118253,4.46462477113,0.676274330745,0,0,0,0.566084556226,1,0,0
2,0,2,1.25761229603,7.69908439592,0.732231770953,0,0,0,0.555924903754,1,0,0
3,0,3,0.398755118253,6.22946209493,0.910395491601,0,0,0,0.60555631473,1,0,0
4,0,4,0.214714294444,8.02011208272,0.893067295186,0,0,0,0.590263567292,1,0,0
5,1,0,0.613469412697,7.29632267125,0.679009492989,0,0,0,0.569471843229,1,0,0
6,1,1,0.950877589681,4.525494545,0.750086740555,0,0,0,0.504307400076,1,0,0
7,1,2,0.306734706349,6.82056060181,0.886450872667,0,0,0,0.495172168031,1,0,0
8,1,3,0.245387765079,3.78391736873,0.886733133389,0,0,0,0.656015968802,1,1,0
9,1,4,0.214714294444,8.02011208272,0.844630263947,0,0,0,0.590263567292,1,0,0
10,2,0,0.644142883332,4.18744289221,0.706799833537,0,0,0,0.552911707112,1,0,0
11,2,1,0.245387765079,4.49311401007,0.873992282901,0,0,0,0.591982785329,1,1,0
12,2,2,0.889530648411,3.66259486006,0.855245562246,0,0,0,0.594547167705,1,0,0
13,2,3,0.245387765079,3.78391736873,0.866850242789,0,0,0,0.656015968802,1,1,1
14,2,4,0.245387765079,3.78391736873,0.887583097031,0,0,0,0.656015968802,1,1,1
15,3,0,0.613469412697,4.10812553657,0.883617868693,0,0,0,0.650678353854,1,0,0
16,3,1,0.490775530158,4.42253052946,0.861994578076,0,0,0,0.536338137742,1,0,1
17,3,2,0.490775530158,4.42253052946,0.847686433455,0,0,0,0.536338137742,1,0,1
18,3,3,0.889530648411,3.66259486006,0.872883395202,0,0,0,0.594547167705,1,0,0
19,3,4,0.245387765079,7.73426638357,0.830808276737,0,0,0,0.833872373355,1,1,0
20,4,0,0.613469412697,4.10812553657,0.840020467258,0,0,0,0.650678353854,1,0,0
21,4,1,0.490775530158,4.42253052946,0.865955715557,0,0,0,0.536338137742,1,0,1
22,4,2,0.490775530158,4.42253052946,0.887196833002,0,0,0,0.536338137742,1,0,1
23,4,3,0.0920204119046,6.12749654889,0.697679162729,0,0,0,0.493567549146,1,0,0
24,4,4,0.674816353967,5.58093596398,0.722882909017,0,0,0,0.69448545866,1,0,0
