# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.122693882539 agree=7 voting=25 distinct=9 largest_block=7
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.391383697196 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.122693882539 agree=6 input=25 survivors=8 snr_cull=0 sigma_cull=0 neigh_cull=17 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.493812161466 median=0.535311900735 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=8
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.122693882539,3.74637786317,0.755496239069,0,0,0,0.587853903431,1,1,1
1,0,1,0.122693882539,3.74637786317,0.751734709719,0,0,0,0.587853903431,1,1,1
2,0,2,0.337408176984,3.3734285517,0.692066601489,0,0,0,0.552796185489,1,0,0
3,0,3,0.276061235714,3.76194926423,0.67977522896,0,0,0,0.535311900735,1,0,0
4,0,4,0.184040823809,7.43439937843,0.696985192881,0,0,0,0.568561059849,1,0,0
5,1,0,0.122693882539,3.74637786317,0.745857383323,0,0,0,0.587853903431,1,1,1
6,1,1,0.122693882539,3.74637786317,0.752162572151,0,0,0,0.587853903431,1,1,1
7,1,2,0.337408176984,3.3734285517,0.696299024428,0,0,0,0.552796185489,1,0,0
8,1,3,0.276061235714,3.76194926423,0.677324046575,0,0,0,0.535311900735,1,0,0
9,1,4,0.184040823809,7.43439937843,0.683632028511,0,0,0,0.568561059849,1,0,0
10,2,0,0.122693882539,4.95814265053,0.737651566853,0,0,0,0.520628919936,1,1,1
11,2,1,0.122693882539,4.95814265053,0.736607984089,0,0,0,0.520628919936,1,1,1
12,2,2,0.460102059523,4.39299359509,0.658046223914,0,0,0,0.535518558823,1,0,0
13,2,3,0.460102059523,4.39299359509,0.674698148925,0,0,0,0.535518558823,1,0,0
14,2,4,0.306734706349,4.46212270832,0.673323317453,0,0,0,0.536341103382,1,0,0
15,3,0,0.122693882539,3.77164776115,0.672370838441,0,0,0,0.493812161466,1,1,0
16,3,1,0.153367353174,5.2134242782,0.678128061419,0,0,0,0.524762030049,1,0,0
17,3,2,0.153367353174,5.2134242782,0.701742111986,0,0,0,0.524762030049,1,0,1
18,3,3,1.65636741428,3.34897838886,0.745615253648,0,0,0,0.499316394861,1,0,1
19,3,4,1.65636741428,3.34897838886,0.738671336218,0,0,0,0.499316394861,1,0,0
20,4,0,0.184040823809,4.56215460904,0.782767394393,0,0,0,0.508943358404,1,0,0
21,4,1,0.184040823809,4.56215460904,0.777171276314,0,0,0,0.508943358404,1,0,0
22,4,2,0.153367353174,5.2134242782,0.700104499366,0,0,0,0.524762030049,1,0,0
23,4,3,1.65636741428,3.34897838886,0.733945495008,0,0,0,0.499316394861,1,0,0
24,4,4,0.797510236506,4.62116732779,0.719816297581,0,0,0,0.555224320109,1,0,0
