# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.736163295237 agree=6 voting=25 distinct=11 largest_block=4
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.450907161702 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.736163295237 agree=4 input=25 survivors=7 snr_cull=0 sigma_cull=0 neigh_cull=18 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.495498805897 median=0.584040201112 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=7
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.245387765079,5.35657456952,0.686007066293,0,0,0,0.661770185669,1,0,0
1,0,1,0.705489824602,4.44974633162,0.864826713647,0,0,0,0.724652915404,1,0,0
2,0,2,0.736163295237,5.22291741323,0.803975076427,0,0,0,0.531253286408,1,1,1
3,0,3,0.736163295237,5.22291741323,0.803959042119,0,0,0,0.531253286408,1,1,1
4,0,4,0.245387765079,4.06106284996,0.841563142927,0,0,0,0.584040201112,1,0,0
5,1,0,0.245387765079,5.35657456952,0.697306171066,0,0,0,0.661770185669,1,0,0
6,1,1,0.460102059523,6.34818973336,0.810293539786,0,0,0,0.57179218405,1,0,0
7,1,2,0.736163295237,5.22291741323,0.860345636512,0,0,0,0.531253286408,1,1,1
8,1,3,0.736163295237,5.22291741323,0.767463199997,0,0,0,0.531253286408,1,1,1
9,1,4,0.582795942062,4.71726897849,0.797443625923,0,0,0,0.594000210544,1,0,0
10,2,0,0.674816353967,5.57191687274,0.642470182088,0,0,0,0.559698885947,1,0,0
11,2,1,0.460102059523,6.41213128182,0.670048876101,0,0,0,0.51521437975,1,0,1
12,2,2,0.797510236506,4.73136621753,0.85488369756,0,0,0,0.495498805897,1,0,0
13,2,3,0.582795942062,4.71726897849,0.83419027124,0,0,0,0.594000210544,1,0,0
14,2,4,0.582795942062,4.71726897849,0.746911544544,0,0,0,0.594000210544,1,0,1
15,3,0,0.736163295237,6.34543085934,0.655630262645,0,0,0,0.550813069963,1,1,0
16,3,1,0.460102059523,6.41213128182,0.670827230609,0,0,0,0.51521437975,1,0,1
17,3,2,0.460102059523,6.41213128182,0.660421335646,0,0,0,0.51521437975,1,0,0
18,3,3,0.306734706349,6.86230600373,0.884370991228,0,0,0,0.650242752953,1,0,0
19,3,4,0.398755118253,5.01826013365,0.824384299342,0,0,0,0.692900266114,1,0,0
20,4,0,0.736163295237,6.34543085934,0.644982807616,0,0,0,0.550813069963,1,1,0
21,4,1,0.613469412697,5.40961620152,0.644581680064,0,0,0,0.616192391574,1,0,0
22,4,2,0.429428588888,3.84789655283,0.682509854714,0,0,0,0.612975051444,1,0,0
23,4,3,0.429428588888,3.84789655283,0.689047095385,0,0,0,0.612975051444,1,0,0
24,4,4,0.398755118253,5.01826013365,0.901814323405,0,0,0,0.692900266114,1,0,0
