# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.0920204119046 agree=4 voting=25 distinct=12 largest_block=4
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.447170794399 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.0920204119046 agree=4 input=25 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=16 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.563577478397 median=0.629502333679 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.736163295237,7.84898974687,0.726458927303,0,0,0,0.563577478397,1,0,0
1,0,1,0.736163295237,7.84898974687,0.754810096839,0,0,0,0.563577478397,1,0,0
2,0,2,0.490775530158,3.82139750469,0.730987285236,0,0,0,0.623091019236,1,0,1
3,0,3,0.490775530158,3.82139750469,0.728539587167,0,0,0,0.623091019236,1,0,0
4,0,4,0.429428588888,4.57091211265,0.802257744505,0,0,0,0.64820683297,1,0,0
5,1,0,0.368081647618,7.50598305189,0.710066411523,0,0,0,0.60363085687,1,0,0
6,1,1,1.47232659047,4.21165450359,0.745137745394,0,0,0,0.629502333679,1,0,0
7,1,2,0.490775530158,3.82139750469,0.734168089947,0,0,0,0.623091019236,1,0,0
8,1,3,0.0920204119046,6.34037714795,0.858255106934,0,0,0,1.01127457632,1,1,1
9,1,4,0.0920204119046,6.34037714795,0.865975208123,0,0,0,1.01127457632,1,1,1
10,2,0,0.460102059523,4.78402745438,0.873998493045,0,0,0,1.02427304934,1,0,1
11,2,1,0.460102059523,4.78402745438,0.878809526681,0,0,0,1.02427304934,1,0,1
12,2,2,1.47232659047,4.21165450359,0.743195885983,0,0,0,0.629502333679,1,0,0
13,2,3,0.0920204119046,6.34037714795,0.865380517548,0,0,0,1.01127457632,1,1,1
14,2,4,0.0920204119046,6.34037714795,0.867928081671,0,0,0,1.01127457632,1,1,1
15,3,0,0.460102059523,4.78402745438,0.870878657218,0,0,0,1.02427304934,1,0,1
16,3,1,0.460102059523,4.78402745438,0.886856128127,0,0,0,1.02427304934,1,0,1
17,3,2,0.644142883332,6.35458797391,0.710616141696,0,0,0,0.613175462377,1,0,0
18,3,3,0.644142883332,6.35458797391,0.711156681829,0,0,0,0.613175462377,1,0,0
19,3,4,0.368081647618,3.42441888506,0.72154786128,0,0,0,0.735642410588,1,0,0
20,4,0,0.245387765079,4.59101637375,0.882542438975,0,0,0,1.3000935028,1,0,0
21,4,1,0.245387765079,4.59101637375,0.894341588799,0,0,0,1.3000935028,1,0,0
22,4,2,0.552122471428,3.34642618656,0.688344304685,0,0,0,0.591688033683,1,0,0
23,4,3,0.521449000793,4.02029434137,0.671703200649,0,0,0,0.571895909188,1,0,0
24,4,4,0.613469412697,3.92551312588,0.682021692998,0,0,0,0.571945458681,1,0,0
