# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0 dt_s=0.256758485148 t_sap_s=0.256758485148
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.912822802583 agree=4 voting=25 distinct=15 largest_block=2
# df_hz=0.0304274267528 quant_px=0 coherence_gate=0.356053124497 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.730258242066 agree=1 input=25 survivors=1 snr_cull=0 sigma_cull=0 neigh_cull=24 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.481932857409 median=0.537515859774 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=1
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,1.64308104465,2.9358518632,0.712106248994,0,0,0,0.542780050729,1,0,0
1,0,1,1.06495993635,4.16346787085,0.660163264356,0,0,0,0.596022425075,1,0,0
2,0,2,0.912822802583,6.48526594229,0.651004909621,0,0,0,0.537515859774,1,1,0
3,0,3,0.33470169428,5.78309914831,0.661827648762,0,0,0,0.517692080426,1,0,0
4,0,4,0.33470169428,5.78309914831,0.677631971197,0,0,0,0.517692080426,1,0,0
5,1,0,1.03453250959,5.39163470448,0.702091695312,0,0,0,0.670865327683,1,0,0
6,1,1,0.182564560517,3.33178291381,0.686586941205,0,0,0,0.525794640394,1,0,0
7,1,2,0.912822802583,4.96092653037,0.676242878793,0,0,0,0.630561436649,1,1,0
8,1,3,1.79521817841,4.04921832593,0.677807854237,0,0,0,0.499703736923,1,0,0
9,1,4,1.79521817841,4.04921832593,0.681198016059,0,0,0,0.499703736923,1,0,0
10,2,0,0.88239537583,3.23032444147,0.678827506569,0,0,0,0.590803094793,1,0,0
11,2,1,0.730258242066,3.1872714113,0.66399082272,0,0,0,0.553198785871,1,0,0
12,2,2,1.64308104465,5.68195425526,0.672409481385,0,0,0,0.57183215624,1,0,0
13,2,3,1.64308104465,5.68195425526,0.668491076796,0,0,0,0.57183215624,1,0,0
14,2,4,0.851967949077,3.93871527669,0.643323194626,0,0,0,0.515828359913,1,0,0
15,3,0,0.54769368155,6.67368584816,0.637447565445,0,0,0,0.481932857409,1,0,0
16,3,1,0.730258242066,3.1872714113,0.68316974535,0,0,0,0.553198785871,1,0,1
17,3,2,0.730258242066,3.1872714113,0.66131705392,0,0,0,0.553198785871,1,0,0
18,3,3,1.27795192362,3.64242367547,0.638617785561,0,0,0,0.574891417738,1,0,0
19,3,4,0.912822802583,5.2074127886,0.629835201469,0,0,0,0.510466805047,1,1,0
20,4,0,1.82564560517,6.55684890736,0.643817955308,0,0,0,0.525129473413,1,0,0
21,4,1,0.638975961808,5.08944724086,0.69284950628,0,0,0,0.515105616381,1,0,0
22,4,2,0.638975961808,5.08944724086,0.666989248884,0,0,0,0.515105616381,1,0,0
23,4,3,0.669403388561,4.84805081949,0.644856916989,0,0,0,0.548492186092,1,0,0
24,4,4,0.912822802583,5.2074127886,0.631705842738,0,0,0,0.510466805047,1,1,0
