# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.613469412697 agree=4 voting=25 distinct=14 largest_block=4
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.375802429707 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.613469412697 agree=4 input=25 survivors=5 snr_cull=0 sigma_cull=0 neigh_cull=20 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.520449367183 median=0.561047380732 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=5
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.981551060316,4.91544478722,0.751604859413,0,0,0,0.555192931268,1,0,0
1,0,1,0.552122471428,3.83763257185,0.661934863771,0,0,0,0.569905701814,1,0,0
2,0,2,0.337408176984,6.00752892036,0.65395450949,0,0,0,0.52640618043,1,0,0
3,0,3,0.582795942062,5.38714786593,0.672139117514,0,0,0,0.567283475393,1,0,0
4,0,4,0.276061235714,3.17687004274,0.718085123345,0,0,0,0.567564200735,1,0,0
5,1,0,0.337408176984,5.56499743883,0.696053228072,0,0,0,0.561047380732,1,0,0
6,1,1,0.337408176984,5.56499743883,0.675860859217,0,0,0,0.561047380732,1,0,0
7,1,2,0.521449000793,4.00065594751,0.677716476912,0,0,0,0.567021873817,1,0,0
8,1,3,0.582795942062,5.38714786593,0.704606689703,0,0,0,0.567283475393,1,0,1
9,1,4,0.582795942062,5.38714786593,0.711779406435,0,0,0,0.567283475393,1,0,0
10,2,0,0.184040823809,4.16612144382,0.725094274986,0,0,0,0.609533370447,1,0,0
11,2,1,0.674816353967,4.64870112449,0.657411708007,0,0,0,0.524694932976,1,0,0
12,2,2,0.245387765079,5.67431047094,0.66318590019,0,0,0,0.552541879265,1,0,0
13,2,3,0.766836765872,3.51284625674,0.666804249649,0,0,0,0.578197226061,1,0,0
14,2,4,0.766836765872,3.51284625674,0.672129374723,0,0,0,0.578197226061,1,0,0
15,3,0,0.184040823809,4.16612144382,0.742907137005,0,0,0,0.609533370447,1,0,0
16,3,1,1.19626535476,3.82455590287,0.664930165359,0,0,0,0.573665267273,1,0,0
17,3,2,0.613469412697,6.62848158659,0.726063429152,0,0,0,0.527047663017,1,1,1
18,3,3,0.613469412697,6.62848158659,0.723951702477,0,0,0,0.527047663017,1,1,1
19,3,4,0.276061235714,5.58983897407,0.672124715133,0,0,0,0.520449367183,1,0,0
20,4,0,0.429428588888,4.45700178257,0.678650353878,0,0,0,0.557258748784,1,0,0
21,4,1,1.19626535476,3.82455590287,0.676620996937,0,0,0,0.573665267273,1,0,0
22,4,2,0.613469412697,6.62848158659,0.735650798659,0,0,0,0.527047663017,1,1,1
23,4,3,0.613469412697,6.62848158659,0.725742797358,0,0,0,0.527047663017,1,1,1
24,4,4,1.3189592373,3.7918810583,0.647032073771,0,0,0,0.533144212675,1,0,0
