# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.5 dt_s=0.254698925107 t_sap_s=0.509495924502
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=yes
# consensus_hz=0.0920204119046 agree=9 voting=25 distinct=12 largest_block=9
# df_hz=0.0306734706349 quant_px=0 coherence_gate=0.492243616074 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.0920204119046 agree=9 input=25 survivors=9 snr_cull=0 sigma_cull=0 neigh_cull=16 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.238761308146 median=0.605546924952 n_meeting_0.25=2
# passed_cull_source=selector expected_sum=9
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.981551060316,4.91544478722,0.751604859413,0,0,0,0.555192931268,1,0,0
1,0,1,0.736163295237,4.43983929472,0.82210651724,0,0,0,0.894938546645,1,0,0
2,0,2,0.736163295237,4.43983929472,0.799788103349,0,0,0,0.894938546645,1,0,0
3,0,3,0.582795942062,5.38714786593,0.672139117514,0,0,0,0.567283475393,1,0,0
4,0,4,0.276061235714,3.17687004274,0.718085123345,0,0,0,0.567564200735,1,0,0
5,1,0,0.337408176984,5.56499743883,0.696053228072,0,0,0,0.561047380732,1,0,0
6,1,1,0.0920204119046,16.3722750393,0.983569955287,0,0,0,0.605546924952,1,1,1
7,1,2,0.0920204119046,16.3722750393,0.981788169513,0,0,0,0.605546924952,1,1,1
8,1,3,0.0920204119046,33.9180389364,0.964097768609,0,0,0,0.238761308146,1,1,1
9,1,4,0.582795942062,5.38714786593,0.711779406435,0,0,0,0.567283475393,1,0,0
10,2,0,0.184040823809,4.16612144382,0.725094274986,0,0,0,0.609533370447,1,0,0
11,2,1,0.0920204119046,16.3722750393,0.984487232147,0,0,0,0.605546924952,1,1,1
12,2,2,0.0920204119046,11.1578925148,0.980119102639,0,0,0,0.608431144276,1,1,1
13,2,3,0.0920204119046,11.1578925148,0.983764288941,0,0,0,0.608431144276,1,1,1
14,2,4,0.766836765872,3.51284625674,0.672129374723,0,0,0,0.578197226061,1,0,0
15,3,0,0.184040823809,4.16612144382,0.742907137005,0,0,0,0.609533370447,1,0,0
16,3,1,0.0920204119046,23.3555826171,0.970232830083,0,0,0,0.240375272681,1,1,1
17,3,2,0.0920204119046,11.1578925148,0.984154839676,0,0,0,0.608431144276,1,1,1
18,3,3,0.0920204119046,11.1578925148,0.984479123418,0,0,0,0.608431144276,1,1,1
19,3,4,0.276061235714,5.58983897407,0.672124715133,0,0,0,0.520449367183,1,0,0
20,4,0,0.429428588888,4.45700178257,0.678650353878,0,0,0,0.557258748784,1,0,0
21,4,1,1.19626535476,3.82455590287,0.676620996937,0,0,0,0.573665267273,1,0,0
22,4,2,1.44165311984,4.18771787462,0.851244360552,0,0,0,0.861899501247,1,0,0
23,4,3,1.44165311984,4.18771787462,0.84592457853,0,0,0,0.861899501247,1,0,0
24,4,4,1.3189592373,3.7918810583,0.647032073771,0,0,0,0.533144212675,1,0,0
