# raw tracked shifts, before detrend or spectrum
# reference=first b_shift_hz=0 pair_lag_s=0 dt_s=0.254698925107 looks=128
window,look,centre_time_s,disp_az_px,disp_rg_px,vel_los_ms,disp_los_m,phase_rad,quality
0,0,0.25654205,0,0,0,-0.000165811785,0.0646379397,0.751605
0,1,0.513074946,0,0,-0.0063822968,-0.00179137592,0.698327012,0.751605
0,2,0.769436935,0,0,-0.00176398175,-0.00224066018,0.873470224,0.751605
0,3,1.02578222,0,0,-0.0118462775,-0.00525789432,2.04967008,0.751605
0,4,1.281978,0,0,-0.0104080502,-0.00790881352,3.08307043,0.751605
0,5,1.53815114,0,0,0.00543900491,-0.00652350482,2.54303945,0.751605
0,6,1.79419456,0,0,0.0194916687,-0.00155899776,0.60773969,0.751605
0,7,2.05020541,0,0,0.000837488418,-0.00134569036,0.524586669,0.751605
0,8,2.30608263,0,0,-0.000951171587,-0.00158795274,0.619027128,0.751605
0,9,2.56192635,0,0,4.34925268e-05,-0.00157687524,0.614708818,0.751605
0,10,2.81766506,0,0,-0.0191457708,-0.00645328248,2.51566487,0.751605
0,11,3.07336006,0,0,0.0533821603,0.00714309637,-2.78457307,0.751605
0,12,3.32894641,0,0,-0.0118743175,0.00411872047,-1.60558916,0.751605
0,13,3.584487,0,0,-0.00243175844,0.00349935421,-1.36414336,0.751605
0,14,3.83993485,0,0,-0.00101888674,0.00323984485,-1.26297956,0.751605
0,15,4.09533618,0,0,0.00395293953,0.0042466543,-1.65546125,0.751605
0,16,4.35065937,0,0,0.000761428793,0.0044405894,-1.73106242,0.751605
0,17,4.60592512,0,0,-0.0158424924,0.000405523604,-0.15808412,0.751605
0,18,4.8611098,0,0,-0.00733463987,-0.00146260129,0.570161726,0.751605
0,19,5.1162377,0,0,0.00317463198,-0.000654025933,0.254957081,0.751605
0,20,5.37129773,0,0,-0.000148255532,-0.000691786457,0.26967716,0.751605
0,21,5.62630289,0,0,0.00074714201,-0.00050149019,0.195494504,0.751605
0,22,5.88125211,0,0,0.00767603285,0.00145358713,-0.566647761,0.751605
0,23,6.13614215,0,0,0.000343499007,0.00154107595,-0.600753284,0.751605
0,24,6.39098057,0,0,0.00208943423,0.00207325261,-0.808210204,0.751605
0,25,6.64575558,0,0,-0.00558360178,0.000651115235,-0.253822412,0.751605
0,26,6.90048319,0,0,-0.0035057207,-0.000241788058,0.0942555554,0.751605
0,27,7.15515174,0,0,0.00732124941,0.0016229263,-0.632660772,0.751605
0,28,7.4097824,0,0,-0.000238165468,0.00156226581,-0.609013666,0.751605
0,29,7.66435048,0,0,-0.00849812354,-0.000602197122,0.234752802,0.751605
0,30,7.91888418,0,0,-0.0107213093,-0.00333290307,1.29925618,0.751605
0,31,8.17336128,0,0,0.0125998427,-0.000123736672,0.0482359173,0.751605
0,32,8.42781187,0,0,-0.00348182053,-0.00101055262,0.393940872,0.751605
0,33,8.68220295,0,0,-0.00887194142,-0.00327022656,1.27482318,0.751605
0,34,8.93657044,0,0,0.015189757,0.00059858822,-0.233345954,0.751605
0,35,9.19087557,0,0,-0.00108381029,0.000322542904,-0.125735989,0.751605
0,36,9.44515996,0,0,0.00028930983,0.000396229807,-0.154461146,0.751605
0,37,9.69939005,0,0,0.0042687371,0.00148347256,-0.578297915,0.751605
0,38,9.95360519,0,0,0.000620781589,0.00164158496,-0.639934427,0.751605
0,39,10.2077637,0,0,0.0158556976,0.00568001409,-2.21422384,0.751605
0,40,10.4619096,0,0,-0.0187508551,0.000904191459,-0.352478401,0.751605
0,41,10.7159966,0,0,-0.011704442,-0.00207691735,0.809638821,0.751605
0,42,10.9700733,0,0,-0.0212451125,-0.00748802466,2.91903549,0.751605
0,43,11.224101,0,0,0.0462582663,0.00429390606,-1.67388126,0.751605
0,44,11.4781222,0,0,-0.0268645593,-0.00254846833,0.993462206,0.751605
0,45,11.7320928,0,0,-0.0122025043,-0.00565643306,2.20503131,0.751605
0,46,11.9860587,0,0,0.0379672861,0.00401379391,-1.56468594,0.751605
0,47,12.2399852,0,0,-0.0110516171,0.00119895892,-0.467386769,0.751605
0,48,12.4939095,0,0,-0.00341404533,0.000329405248,-0.128411117,0.751605
0,49,12.7477932,0,0,-0.00340111521,-0.000536855141,0.209280723,0.751605
0,50,13.0016757,0,0,0.019307865,0.00438083732,-1.70776943,0.751605
0,51,13.2562988,0,0,-0.0154327732,0.000450126562,-0.175471566,0.751605
0,52,13.5101389,0,0,-0.00609760019,-0.00110292565,0.42995039,0.751605
0,53,13.7639523,0,0,-0.00429127782,-0.0021959095,0.856025195,0.751605
0,54,14.0177639,0,0,-0.021126792,-0.00757688071,2.953674,0.751605
0,55,14.2715496,0,0,0.0515854692,0.00556188284,-2.16817307,0.751605
0,56,14.525334,0,0,-0.0278784877,-0.001538738,0.599841887,0.751605
0,57,14.7791059,0,0,0.00107610411,-0.00126465544,0.492997058,0.751605
0,58,15.0328743,0,0,0.0131352377,0.00208087547,-0.811181804,0.751605
0,59,15.2866185,0,0,-0.0311911827,-0.00586348524,2.28574588,0.751605
0,60,15.5403627,0,0,0.0537427116,0.00782472564,-3.05029068,0.751605
0,61,15.7941069,0,0,-0.0131566352,0.00447374479,-1.74398729,0.751605
0,62,16.0478485,0,0,-0.00918385735,0.00213462619,-0.832135296,0.751605
0,63,16.3015789,0,0,0.0227610724,0.00793184687,-3.09204945,0.751605
0,64,16.5553092,0,0,-0.00373110579,0.00698153824,-2.72159332,0.751605
0,65,16.8090396,0,0,-0.0340122344,-0.0016813413,0.655432526,0.751605
0,66,17.0627734,0,0,-0.00105387547,-0.00194976225,0.760070307,0.751605
0,67,17.3165176,0,0,0.00842838211,0.000196937616,-0.0767716344,0.751605
0,68,17.5702656,0,0,-0.00706198955,-0.00160174353,0.624403154,0.751605
0,69,17.8240237,0,0,-0.0228782709,-0.00742881453,2.89595378,0.751605
0,70,18.077786,0,0,0.0574457464,0.00720255532,-2.80775179,0.751605
0,71,18.3315579,0,0,-0.00908294493,0.00488913901,-1.90591924,0.751605
0,72,18.5853392,0,0,-0.0106698367,0.00217154308,-0.846526501,0.751605
0,73,18.8391388,0,0,-0.00327510922,0.00133737628,-0.521345616,0.751605
0,74,19.0929435,0,0,0.00931733419,0.00371049128,-1.44645033,0.751605
0,75,19.3467569,0,0,0.00749083146,0.005618398,-2.19020422,0.751605
0,76,19.6005868,0,0,-0.00932595091,0.00324308833,-1.26424396,0.751605
0,77,19.8544419,0,0,-0.00325302246,0.00241454701,-0.941256036,0.751605
0,78,20.1083146,0,0,0.0122599761,0.00553714975,-2.15853144,0.751605
0,79,20.3622112,0,0,0.00318325409,0.00634792115,-2.47459216,0.751605
0,80,20.6161267,0,0,-0.00258207063,0.00569027053,-2.21822208,0.751605
0,81,20.8700649,0,0,-0.0139069183,0.0021481934,-0.837424162,0.751605
0,82,21.1240233,0,0,-0.00824943273,4.70717505e-05,-0.0183498475,0.751605
0,83,21.3780029,0,0,0.0112546918,0.00291362965,-1.13581201,0.751605
0,84,21.6320114,0,0,0.00840956608,0.00505553709,-1.97078574,0.751605
0,85,21.8860465,0,0,-0.0378044392,-0.00457321294,1.78276268,0.751605
0,86,22.1401121,0,0,-0.00436127376,-0.00568402468,2.21578728,0.751605
0,87,22.3942026,0,0,-0.00205204066,-0.00620667723,2.41953144,0.751605
0,88,22.6483335,0,0,0.017985269,-0.00162584856,0.633799949,0.751605
0,89,22.9024932,0,0,0.00683832313,0.000115864991,-0.0451673222,0.751605
0,90,23.1566956,0,0,0.0036845888,0.0010543258,-0.411004846,0.751605
0,91,23.4109246,0,0,0.0200727795,0.00616684117,-2.40400227,0.751605
0,92,23.6651986,0,0,0.00634907595,0.00778394399,-3.03439289,0.751605
0,93,23.9194968,0,0,-0.062009189,-0.00800972979,3.12241033,0.751605
0,94,24.1738518,0,0,0.054142568,0.00578032407,-2.2533274,0.751605
0,95,24.4282331,0,0,-0.00954553511,0.00334908654,-1.30556494,0.751605
0,96,24.6826741,0,0,-0.0134682811,-8.12701785e-05,0.031681324,0.751605
0,97,24.9371386,0,0,-0.00549950234,-0.00148198751,0.577719005,0.751605
0,98,25.191676,0,0,0.00498421392,-0.000212513585,0.0828435703,0.751605
0,99,25.4462374,0,0,0.0131577243,0.00313874466,-1.22356796,0.751605
0,100,25.7008753,0,0,0.00441715194,0.00426378852,-1.66214063,0.751605
0,101,25.9555336,0,0,-0.0101529401,0.0016778456,-0.654069807,0.751605
0,102,26.210272,0,0,-0.0106897088,-0.00104481175,0.407296011,0.751605
0,103,26.4650273,0,0,0.0114508706,0.00187171269,-0.729644468,0.751605
0,104,26.7198782,0,0,-0.01457911,-0.00184157095,0.717894398,0.751605
0,105,26.9747443,0,0,4.98596282e-06,-0.00184030103,0.717399349,0.751605
0,106,27.2297102,0,0,-0.00304981729,-0.00261708621,1.02021132,0.751605
0,107,27.4846872,0,0,0.00419790168,-0.00154788517,0.603407701,0.751605
0,108,27.7397812,0,0,0.0053895742,-0.000175166412,0.0682846275,0.751605
0,109,27.9948828,0,0,-0.0123785204,-0.00332796226,1.29733012,0.751605
0,110,28.2501065,0,0,-0.00881876889,-0.00557409322,2.17293301,0.751605
