# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.044756208 t_sap_s=0.448018776
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.52367036993 agree=9 voting=25 distinct=6 largest_block=9
# df_hz=0.174556789977 quant_px=0 coherence_gate=0.470791421923 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.52367036993 agree=7 input=25 survivors=12 snr_cull=0 sigma_cull=0 neigh_cull=13 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.444192261566 median=0.597268792187 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=12
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.52367036993,25.3835570433,0.805548385405,0,0,0,0.457189110412,1,1,0
1,0,1,0.52367036993,25.3835570433,0.826804279452,0,0,0,0.457189110412,1,1,1
2,0,2,3.49113579953,4.41169057251,0.882288778183,0,0,0,0.525977872109,1,0,0
3,0,3,1.39645431981,15.1489208049,0.904329346408,0,0,0,0.713947128441,1,0,0
4,0,4,1.39645431981,15.1489208049,0.90651734907,0,0,0,0.713947128441,1,0,1
5,1,0,1.22189752984,19.1108418436,0.931069563765,0,0,0,0.597268792187,1,0,0
6,1,1,0.52367036993,16.0829931212,0.941582843845,0,0,0,0.46232143907,1,1,1
7,1,2,3.49113579953,4.41169057251,0.885400653295,0,0,0,0.525977872109,1,0,1
8,1,3,3.49113579953,4.41169057251,0.858307943889,0,0,0,0.525977872109,1,0,0
9,1,4,1.39645431981,6.30695552032,0.867755823103,0,0,0,0.456987319584,1,0,0
10,2,0,1.22189752984,19.1108418436,0.876763752321,0,0,0,0.597268792187,1,0,0
11,2,1,0.52367036993,16.0829931212,0.911768510376,0,0,0,0.46232143907,1,1,1
12,2,2,0.52367036993,13.3527942193,0.811088414408,0,0,0,0.444192261566,1,1,0
13,2,3,1.04734073986,12.220444383,0.889827921964,0,0,0,0.694067290033,1,0,1
14,2,4,1.04734073986,12.220444383,0.889712719042,0,0,0,0.694067290033,1,0,0
15,3,0,0.52367036993,10.5162275208,0.835217108937,0,0,0,0.673155525063,1,1,1
16,3,1,0.52367036993,10.5162275208,0.868695055467,0,0,0,0.673155525063,1,1,1
17,3,2,0.698227159907,15.7706648348,0.917398231263,0,0,0,0.521242025853,1,0,0
18,3,3,1.04734073986,10.4593499861,0.835659847126,0,0,0,0.798497765949,1,0,0
19,3,4,1.22189752984,8.19032907665,0.840126213583,0,0,0,0.805439042838,1,0,0
20,4,0,0.52367036993,10.5162275208,0.86169561012,0,0,0,0.673155525063,1,1,1
21,4,1,0.52367036993,10.5162275208,0.859044940949,0,0,0,0.673155525063,1,1,1
22,4,2,0.698227159907,15.7706648348,0.893267803425,0,0,0,0.521242025853,1,0,1
23,4,3,0.698227159907,15.8167463772,0.903121130144,0,0,0,0.660899413858,1,0,1
24,4,4,0.698227159907,15.8167463772,0.905195579645,0,0,0,0.660899413858,1,0,0
