# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0.9 dt_s=0.044756208 t_sap_s=0.448018776
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=10 coherence_min=0 inject_vib=no
# consensus_hz=0.52367036993 agree=9 voting=23 distinct=6 largest_block=9
# df_hz=0.174556789977 quant_px=0 coherence_gate=0.277903869217 floor_px=0 n_win_az=5 n_win_rg=5
# cull_hz=0.52367036993 agree=7 input=23 survivors=11 snr_cull=0 sigma_cull=0 neigh_cull=12 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.444192261566 median=0.597268792187 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=11
# probe_hz=1 probe_bin=6 probe_bin_hz=1.04734073986
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,0.52367036993,25.3835570433,0.542810889588,0,0,0,0.457189110412,1,1,0,2.18707646464e-07,1.31610570353
1,0,1,0.52367036993,25.3835570433,0.542810889588,0,0,0,0.457189110412,1,1,1,2.18707646464e-07,1.31610570353
2,0,2,3.49113579953,4.41169057251,0.474022127891,0,0,0,0.525977872109,1,0,0,5.94571688885e-07,0.706824260297
3,0,3,1.39645431981,15.1489208049,0.286052871559,0,0,0,0.713947128441,1,0,0,4.27104574832e-07,0.799477581326
4,0,4,1.39645431981,15.1489208049,0.286052871559,0,0,0,0.713947128441,1,0,1,4.27104574832e-07,0.799477581326
5,1,0,1.22189752984,19.1108418436,0.402731207813,0,0,0,0.597268792187,1,0,0,3.18913976671e-06,12.5281080072
6,1,1,0.52367036993,16.0829931212,0.53767856093,0,0,0,0.46232143907,1,1,1,1.96047199447e-06,1.78410250322
7,1,2,3.49113579953,4.41169057251,0.474022127891,0,0,0,0.525977872109,1,0,1,5.94571688885e-07,0.706824260297
8,1,3,3.49113579953,4.41169057251,0.474022127891,0,0,0,0.525977872109,1,0,0,5.94571688885e-07,0.706824260297
9,1,4,1.39645431981,6.30695552032,0.543012680416,0,0,0,0.456987319584,1,0,0,3.55773368376e-08,0.417983192049
10,2,0,1.22189752984,19.1108418436,0.402731207813,0,0,0,0.597268792187,1,0,0,3.18913976671e-06,12.5281080072
11,2,1,0.52367036993,16.0829931212,0.53767856093,0,0,0,0.46232143907,1,1,1,1.96047199447e-06,1.78410250322
12,2,2,0.52367036993,13.3527942193,0.555807738434,0,0,0,0.444192261566,1,1,0,9.56764301835e-06,7.83677978608
13,2,3,1.04734073986,12.220444383,0.305932709967,0,0,0,0.694067290033,1,0,0,1.03169530624e-05,14.5149078913
14,2,4,1.04734073986,12.220444383,0.305932709967,0,0,0,0.694067290033,1,0,0,1.03169530624e-05,14.5149078913
15,3,0,0.52367036993,10.5162275208,0.326844474937,0,0,0,0.673155525063,1,1,1,5.42485006793e-07,2.82930963092
16,3,1,0.52367036993,10.5162275208,0.326844474937,0,0,0,0.673155525063,1,1,1,5.42485006793e-07,2.82930963092
17,3,2,0.698227159907,15.7706648348,0.478757974147,0,0,0,0.521242025853,1,0,0,1.17932898532e-07,0.22253729385
18,3,3,1.04734073986,10.4593499861,0.201502234051,0,0,0,0.798497765949,0,0,0,6.4077392744e-06,12.6284115851
19,3,4,1.22189752984,8.19032907665,0.194560957162,0,0,0,0.805439042838,0,0,0,7.12609492379e-06,8.02074388543
20,4,0,0.52367036993,10.5162275208,0.326844474937,0,0,0,0.673155525063,1,1,1,5.42485006793e-07,2.82930963092
21,4,1,0.52367036993,10.5162275208,0.326844474937,0,0,0,0.673155525063,1,1,1,5.42485006793e-07,2.82930963092
22,4,2,0.698227159907,15.7706648348,0.478757974147,0,0,0,0.521242025853,1,0,1,1.17932898532e-07,0.22253729385
23,4,3,0.698227159907,15.8167463772,0.339100586142,0,0,0,0.660899413858,1,0,1,5.9418865201e-08,0.381464375739
24,4,4,0.698227159907,15.8167463772,0.339100586142,0,0,0,0.660899413858,1,0,0,5.9418865201e-08,0.381464375739
