# per-window evidence behind the reported selection
# consensus_hz=0.171314898954 agree=15 voting=75 distinct=10 largest_block=8
# df_hz=0.0428287247385 quant_px=0 coherence_gate=0.304538849259 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.171314898954 agree=9 input=75 survivors=14 snr_cull=0 sigma_cull=0 neigh_cull=61 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.390922301481 median=0.892685703757 n_meeting_0.25=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.342629797908,6.01172300013,0.480067294465,0,0,0,0.519932705535,1,0,1
1,0,1,0.342629797908,6.01172300013,0.480067294465,0,0,0,0.519932705535,1,0,1
2,0,2,0.171314898954,11.1960919761,0.464268573632,0,0,0,0.535731426368,1,1,1
3,0,3,0.0428287247385,4.49140915586,0.380717881436,0,0,0,0.619282118564,1,0,1
4,0,4,0.0428287247385,4.49140915586,0.380717881436,0,0,0,0.619282118564,1,0,1
5,0,5,0.128486174216,9.20271496154,0.4599833197,0,0,0,0.5400166803,1,0,1
6,0,6,0.0856574494771,9.92901364911,0.295328604184,0,0,0,0.704671395816,0,0,0
7,0,7,0.171314898954,15.3274710563,0,0,0,0,1.44349488789,0,0,0
8,0,8,0.0856574494771,12.0951295685,0,0,0,0,1.42488212538,0,0,0
9,0,9,0.256972348431,9.32375771055,0,0,0,0,2.24574751892,0,0,0
10,0,10,0.256972348431,9.32375771055,0,0,0,0,2.24574751892,0,0,0
11,0,11,0.0428287247385,16.1610801032,0,0,0,0,2.03235952252,0,0,0
12,0,12,0.214143623693,10.6632133649,0,0,0,0,1.42208572451,0,0,0
13,0,13,0.342629797908,6.17335053612,0.233079973839,0,0,0,0.766920026161,0,0,0
14,0,14,0.214143623693,21.1291288507,0.112763632212,0,0,0,0.887236367788,0,0,0
15,1,0,0.128486174216,6.10167838948,0.431296959888,0,0,0,0.568703040112,1,0,1
16,1,1,0.214143623693,10.785696548,0.505385092471,0,0,0,0.494614907529,1,0,1
17,1,2,0.171314898954,11.1960919761,0.464268573632,0,0,0,0.535731426368,1,1,1
18,1,3,0.171314898954,11.1960919761,0.464268573632,0,0,0,0.535731426368,1,1,1
19,1,4,0.0856574494771,13.4837874768,0.00802327932591,0,0,0,0.991976720674,0,0,0
20,1,5,0.0856574494771,13.4837874768,0.00802327932591,0,0,0,0.991976720674,0,0,0
21,1,6,0.385458522647,6.82166706178,0.524886538493,0,0,0,0.475113461507,1,0,1
22,1,7,0.171314898954,5.20064340682,0,0,0,0,1.04510220066,0,0,0
23,1,8,0.214143623693,17.2048469587,0,0,0,0,2.25984498916,0,0,0
24,1,9,0.214143623693,17.2048469587,0,0,0,0,2.25984498916,0,0,0
25,1,10,0.256972348431,9.32375771055,0,0,0,0,2.24574751892,0,0,0
26,1,11,0.256972348431,7.00251210422,0,0,0,0,2.12524128646,0,0,0
27,1,12,0.256972348431,15.0887675203,0.354840077493,0,0,0,0.645159922507,1,0,1
28,1,13,0.428287247385,7.61639639363,0,0,0,0,1.04215489888,0,0,0
29,1,14,0.428287247385,7.61639639363,0,0,0,0,1.04215489888,0,0,0
30,2,0,0.171314898954,8.24355434176,0.5208711462,0,0,0,0.4791288538,1,1,1
31,2,1,0.171314898954,8.24355434176,0.5208711462,0,0,0,0.4791288538,1,1,1
32,2,2,0.214143623693,10.785696548,0.505385092471,0,0,0,0.494614907529,1,0,1
33,2,3,0.128486174216,7.37483151479,0.0934826308934,0,0,0,0.906517369107,0,0,0
34,2,4,0.0856574494771,13.4837874768,0.00802327932591,0,0,0,0.991976720674,0,0,0
35,2,5,0.0856574494771,13.4837874768,0.00802327932591,0,0,0,0.991976720674,0,0,0
36,2,6,0.171314898954,12.7380220323,0.416100087788,0,0,0,0.583899912212,1,1,1
37,2,7,0.171314898954,5.20064340682,0,0,0,0,1.04510220066,0,0,0
38,2,8,0.29980107317,14.9410656518,0,0,0,0,2.09357904893,0,0,0
39,2,9,0.29980107317,14.9410656518,0,0,0,0,2.09357904893,0,0,0
