# per-window evidence behind the reported selection
# consensus_hz=0.201104951043 agree=9 voting=154 distinct=45 largest_block=4
# df_hz=0.0402209902085 quant_px=0 coherence_gate=0.263835675159 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.201104951043 agree=4 input=154 survivors=46 snr_cull=0 sigma_cull=0 neigh_cull=108 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.472328649683 median=0.620566031917 n_meeting_0.25=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.402209902085,5.82854894439,0.238207736779,0,0,0,0.761792263221,0,0,0
1,0,1,2.21215446147,4.70865686886,0.262009566517,0,0,0,0.737990433483,0,0,0
2,0,2,0.925082774796,6.76795414075,0.342329044084,0,0,0,0.657670955916,1,0,1
3,0,3,1.56861861813,4.49582630441,0.44859707588,0,0,0,0.55140292412,1,0,1
4,0,4,0.28154693146,3.17542365856,0.421016058001,0,0,0,0.578983941999,1,0,1
5,0,5,1.20662970626,4.39963600733,0.427460279304,0,0,0,0.572539720696,1,0,1
6,0,6,0.603314853128,3.32301509892,0.444241938,0,0,0,0.555758062,1,0,1
7,0,7,0.603314853128,3.32301509892,0.444241938,0,0,0,0.555758062,1,0,1
8,0,8,0.522872872711,4.72775994961,0.43310208211,0,0,0,0.56689791789,1,0,1
9,0,9,0.522872872711,4.72775994961,0.43310208211,0,0,0,0.56689791789,1,0,1
10,0,10,0.402209902085,3.61061380056,0.370220457607,0,0,0,0.629779542393,1,0,1
11,0,11,0.402209902085,3.61061380056,0.370220457607,0,0,0,0.629779542393,1,0,1
12,0,12,0.603314853128,5.37035323018,0.48823688249,0,0,0,0.51176311751,1,0,1
13,0,13,0.884861784588,5.73768913102,0.417400873206,0,0,0,0.582599126794,1,0,1
14,0,14,1.28707168667,5.06318195037,0.394300892617,0,0,0,0.605699107383,1,0,1
15,1,0,2.13171248105,5.75229479144,0.1967590308,0,0,0,0.8032409692,0,0,0
16,1,1,0.683756833545,6.59502886077,0.193686447539,0,0,0,0.806313552461,0,0,0
17,1,2,0.160883960834,5.18372743872,0.452799210158,0,0,0,0.547200789842,1,0,1
18,1,3,0.723977823753,6.04779211233,0.449192794656,0,0,0,0.550807205344,1,0,1
19,1,4,0.723977823753,6.04779211233,0.449192794656,0,0,0,0.550807205344,1,0,1
20,1,5,2.49370139293,4.82849631933,0.424692235579,0,0,0,0.575307764421,1,0,1
21,1,6,0.603314853128,3.32301509892,0.444241938,0,0,0,0.555758062,1,0,1
22,1,7,0.603314853128,3.32301509892,0.444241938,0,0,0,0.555758062,1,0,1
23,1,8,0.522872872711,4.72775994961,0.43310208211,0,0,0,0.56689791789,1,0,1
24,1,9,0.522872872711,4.72775994961,0.43310208211,0,0,0,0.56689791789,1,0,1
25,1,10,0.482651882502,3.86197502457,0.441458090878,0,0,0,0.558541909122,1,0,1
26,1,11,0.482651882502,6.9471732731,0.460977159648,0,0,0,0.539022840352,1,0,1
27,1,12,0.603314853128,5.37035323018,0.48823688249,0,0,0,0.51176311751,1,0,1
28,1,13,0.884861784588,5.73768913102,0.417400873206,0,0,0,0.582599126794,1,0,1
29,1,14,1.12618772584,8.05949229934,0,0,0,0,1.03101220769,0,0,0
30,2,0,0.844640794379,5.43107879075,0.2763733115,0,0,0,0.7236266885,1,0,1
31,2,1,1.68928158876,4.10743696714,0.292666325971,0,0,0,0.707333674029,1,0,1
32,2,2,1.32729267688,3.9768928655,0.333368532833,0,0,0,0.666631467167,1,0,1
33,2,3,0.723977823753,6.04779211233,0.449192794656,0,0,0,0.550807205344,1,0,1
34,2,4,0.201104951043,4.4985092883,0.398873706204,0,0,0,0.601126293796,1,1,1
35,2,5,0.201104951043,4.4985092883,0.398873706204,0,0,0,0.601126293796,1,1,1
36,2,6,0.522872872711,3.74553739894,0.387903082126,0,0,0,0.612096917874,1,0,1
37,2,7,1.00552475521,6.7566436672,0.486591756939,0,0,0,0.513408243061,1,0,1
38,2,8,1.00552475521,6.7566436672,0.486591756939,0,0,0,0.513408243061,1,0,1
39,2,9,1.68928158876,5.583733876,0.459705777902,0,0,0,0.540294222098,1,0,1
40,2,10,0.442430892294,6.5384040978,0.446146447188,0,0,0,0.553853552812,1,0,1
41,2,11,0.361988911877,4.13740544752,0.409839334834,0,0,0,0.590160665166,1,0,1
42,2,12,0.361988911877,4.13740544752,0.409839334834,0,0,0,0.590160665166,1,0,1
43,2,13,2.33281743209,7.06090423625,0.49989552688,0,0,0,0.50010447312,1,0,1
44,2,14,0.402209902085,4.67614678329,0.285696680171,0,0,0,0.714303319829,1,0,1
45,3,0,2.17193347126,4.77432785236,0.284675080523,0,0,0,0.715324919477,1,0,1
46,3,1,0.201104951043,4.40669473339,0.275213953613,0,0,0,0.724786046387,1,1,1
47,3,2,1.93060753001,4.49806102283,0.431927859828,0,0,0,0.568072140172,1,0,1
48,3,3,0.402209902085,6.92699596994,0.33181519654,0,0,0,0.66818480346,1,0,1
49,3,4,0.201104951043,4.4985092883,0.398873706204,0,0,0,0.601126293796,1,1,1
50,3,5,0.201104951043,4.4985092883,0.398873706204,0,0,0,0.601126293796,1,1,1
51,3,6,0.683756833545,4.57987196604,0.446476775769,0,0,0,0.553523224231,1,0,1
52,3,7,1.00552475521,6.7566436672,0.486591756939,0,0,0,0.513408243061,1,0,1
53,3,8,1.00552475521,6.7566436672,0.486591756939,0,0,0,0.513408243061,1,0,1
54,3,9,1.68928158876,5.88804802728,0.446439584924,0,0,0,0.553560415076,1,0,1
55,3,10,1.68928158876,5.88804802728,0.446439584924,0,0,0,0.553560415076,1,0,1
56,3,11,0.361988911877,4.13740544752,0.409839334834,0,0,0,0.590160665166,1,0,1
57,3,12,0.925082774796,4.06452436341,0.42401291296,0,0,0,0.57598708704,1,0,1
58,3,13,0.925082774796,4.06452436341,0.42401291296,0,0,0,0.57598708704,1,0,1
59,3,14,1.12618772584,5.42739584324,0.379433968083,0,0,0,0.620566031917,1,0,1
60,4,0,0.361988911877,3.74168373488,0.246501202177,0,0,0,0.753498797823,0,0,0
61,4,1,1.44795564751,4.63288893366,0.437558653005,0,0,0,0.562441346995,1,0,1
62,4,2,0.080441980417,4.83921871599,0.440599428941,0,0,0,0.559400571059,1,0,1
63,4,3,0.402209902085,6.92699596994,0.33181519654,0,0,0,0.66818480346,1,0,1
64,4,4,0.402209902085,6.92699596994,0.33181519654,0,0,0,0.66818480346,1,0,1
65,4,5,1.72950257897,3.88439451981,0.527671350317,0,0,0,0.472328649683,1,0,1
66,4,6,0.683756833545,4.57987196604,0.446476775769,0,0,0,0.553523224231,1,0,1
67,4,7,2.57414337335,4.34989321662,0.374588970419,0,0,0,0.625411029581,1,0,1
68,4,8,2.29259644189,4.93805926936,0.462057228387,0,0,0,0.537942771613,1,0,1
69,4,9,2.29259644189,4.93805926936,0.462057228387,0,0,0,0.537942771613,1,0,1
