# per-window evidence behind the reported selection
# consensus_hz=0.0856574494771 agree=29 voting=162 distinct=13 largest_block=7
# df_hz=0.0428287247385 quant_px=0 coherence_gate=0.298888452649 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.128486174216 agree=16 input=162 survivors=67 snr_cull=0 sigma_cull=0 neigh_cull=95 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.402223094703 median=0.60090000669 n_meeting_0.25=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,0.29980107317,8.60974949586,0.307268998408,0,0,0,0.692731001592,1,0,1
1,0,1,0.0856574494771,8.50224292425,0.563688263408,0,0,0,0.436311736592,1,1,1
2,0,2,0.0428287247385,12.5715466861,0.51620058669,0,0,0,0.48379941331,1,0,1
3,0,3,0.0428287247385,5.19631413893,0.40045844284,0,0,0,0.59954155716,1,0,1
4,0,4,0.29980107317,6.70286463777,0.386648807014,0,0,0,0.613351192986,1,0,1
5,0,5,0.29980107317,6.70286463777,0.386648807014,0,0,0,0.613351192986,1,0,1
6,0,6,0.0856574494771,7.87809313896,0.395386781047,0,0,0,0.604613218953,1,1,1
7,0,7,0.0856574494771,7.87809313896,0.395386781047,0,0,0,0.604613218953,1,1,1
8,0,8,0.0428287247385,9.16894615865,0.556181498065,0,0,0,0.443818501935,1,0,1
9,0,9,0.0428287247385,12.6537023008,0.47586285964,0,0,0,0.52413714036,1,0,1
10,0,10,0.0428287247385,12.6537023008,0.47586285964,0,0,0,0.52413714036,1,0,1
11,0,11,0.214143623693,8.95099327192,0.546058632414,0,0,0,0.453941367586,1,0,1
12,0,12,0.0856574494771,8.727701593,0.389768368455,0,0,0,0.610231631545,1,1,1
13,0,13,0.171314898954,6.53855543237,0.420557468202,0,0,0,0.579442531798,1,0,1
14,0,14,0.171314898954,6.53855543237,0.420557468202,0,0,0,0.579442531798,1,0,1
15,1,0,0.0856574494771,19.8786681647,0.370010295069,0,0,0,0.629989704931,1,1,1
16,1,1,0.471115972124,5.94317807473,0.43427619358,0,0,0,0.56572380642,1,0,1
17,1,2,0.0856574494771,14.092046829,0.528276882961,0,0,0,0.471723117039,1,1,1
18,1,3,0.171314898954,8.40369610831,0.463105185577,0,0,0,0.536894814423,1,0,1
19,1,4,0.171314898954,8.40369610831,0.463105185577,0,0,0,0.536894814423,1,0,1
20,1,5,0.0428287247385,6.49784827255,0.529818256976,0,0,0,0.470181743024,1,0,1
21,1,6,0.0856574494771,7.87809313896,0.395386781047,0,0,0,0.604613218953,1,1,1
22,1,7,0.214143623693,7.9962862187,0.349758555937,0,0,0,0.650241444063,1,0,1
23,1,8,0.214143623693,7.9962862187,0.349758555937,0,0,0,0.650241444063,1,0,1
24,1,9,0.0428287247385,12.6537023008,0.47586285964,0,0,0,0.52413714036,1,0,1
25,1,10,0.0428287247385,12.6537023008,0.47586285964,0,0,0,0.52413714036,1,0,1
26,1,11,0.0856574494771,7.65336348056,0.488326994951,0,0,0,0.511673005049,1,1,1
27,1,12,0.0856574494771,8.727701593,0.389768368455,0,0,0,0.610231631545,1,1,1
28,1,13,0.0856574494771,8.727701593,0.389768368455,0,0,0,0.610231631545,1,1,1
29,1,14,0.0428287247385,11.4726968774,0.517326318806,0,0,0,0.482673681194,1,0,1
30,2,0,0.171314898954,11.0853370464,0.361082137591,0,0,0,0.638917862409,1,0,1
31,2,1,0.214143623693,7.92483559728,0.468183226098,0,0,0,0.531816773902,1,0,1
32,2,2,0.214143623693,10.7901575121,0.492421683053,0,0,0,0.507578316947,1,0,1
33,2,3,0.171314898954,13.2513066811,0.591661510132,0,0,0,0.408338489868,1,0,1
34,2,4,0.171314898954,13.2513066811,0.591661510132,0,0,0,0.408338489868,1,0,1
35,2,5,0.171314898954,10.7320332933,0.56530854016,0,0,0,0.43469145984,1,0,1
36,2,6,0.428287247385,9.32411560817,0.49443391021,0,0,0,0.50556608979,1,0,1
37,2,7,0.214143623693,7.9962862187,0.349758555937,0,0,0,0.650241444063,1,0,1
38,2,8,0.214143623693,7.9962862187,0.349758555937,0,0,0,0.650241444063,1,0,1
39,2,9,0.128486174216,11.6626376406,0.583339557668,0,0,0,0.416660442332,1,0,1
40,2,10,0.0856574494771,7.65336348056,0.488326994951,0,0,0,0.511673005049,1,1,1
41,2,11,0.0856574494771,7.65336348056,0.488326994951,0,0,0,0.511673005049,1,1,1
42,2,12,0.0856574494771,13.9783455009,0.488648631332,0,0,0,0.511351368668,1,1,1
43,2,13,0.342629797908,8.07900050643,0.452181905103,0,0,0,0.547818094897,1,0,1
44,2,14,0.342629797908,8.07900050643,0.452181905103,0,0,0,0.547818094897,1,0,1
45,3,0,0.128486174216,7.60908471397,0.354812666859,0,0,0,0.645187333141,1,0,1
46,3,1,0.342629797908,8.48462196136,0.350278978928,0,0,0,0.649721021072,1,0,1
47,3,2,0.29980107317,6.22441374228,0.504511085129,0,0,0,0.495488914871,1,0,1
48,3,3,0.0856574494771,24.3138252023,0.514692332127,0,0,0,0.485307667873,1,1,1
49,3,4,0.29980107317,5.7049253108,0.425851208432,0,0,0,0.574148791568,1,0,1
50,3,5,0.29980107317,5.7049253108,0.425851208432,0,0,0,0.574148791568,1,0,1
51,3,6,0.471115972124,6.89692770499,0.505052464714,0,0,0,0.494947535286,1,0,1
52,3,7,0.471115972124,6.89692770499,0.505052464714,0,0,0,0.494947535286,1,0,1
53,3,8,0.0428287247385,8.1683426358,0.454607262131,0,0,0,0.545392737869,1,0,1
54,3,9,0.0428287247385,8.1683426358,0.454607262131,0,0,0,0.545392737869,1,0,1
55,3,10,0.556773421601,10.7078514498,0.39316204554,0,0,0,0.60683795446,1,0,1
56,3,11,0.556773421601,10.7078514498,0.39316204554,0,0,0,0.60683795446,1,0,1
57,3,12,0.128486174216,5.7834101639,0.479874591426,0,0,0,0.520125408574,1,0,1
58,3,13,0.342629797908,8.07900050643,0.452181905103,0,0,0,0.547818094897,1,0,1
59,3,14,0.342629797908,8.07900050643,0.452181905103,0,0,0,0.547818094897,1,0,1
60,4,0,0.171314898954,5.82548062201,0.487491732621,0,0,0,0.512508267379,1,0,1
61,4,1,0.342629797908,5.62096195027,0.489091629183,0,0,0,0.510908370817,1,0,1
62,4,2,0.0856574494771,9.01294425404,0.304835033895,0,0,0,0.695164966105,1,1,1
63,4,3,0.0856574494771,9.01294425404,0.304835033895,0,0,0,0.695164966105,1,1,1
64,4,4,0.29980107317,5.7049253108,0.425851208432,0,0,0,0.574148791568,1,0,1
65,4,5,0.29980107317,5.7049253108,0.425851208432,0,0,0,0.574148791568,1,0,1
66,4,6,0.214143623693,5.59044442136,0.357276508499,0,0,0,0.642723491501,1,0,1
67,4,7,0.214143623693,5.59044442136,0.357276508499,0,0,0,0.642723491501,1,0,1
68,4,8,0.0856574494771,13.9377755697,0.432944418327,0,0,0,0.567055581673,1,1,1
69,4,9,0.0856574494771,13.9377755697,0.432944418327,0,0,0,0.567055581673,1,1,1
70,4,10,0.128486174216,11.1102308539,0.442071377936,0,0,0,0.557928622064,1,0,1
71,4,11,0.128486174216,11.1102308539,0.442071377936,0,0,0,0.557928622064,1,0,1
72,4,12,0.128486174216,5.5246008787,0.486003920928,0,0,0,0.513996079072,1,0,1
73,4,13,0.256972348431,6.99942408118,0.37412260582,0,0,0,0.62587739418,1,0,1
74,4,14,0.256972348431,6.99942408118,0.37412260582,0,0,0,0.62587739418,1,0,1
75,5,0,0.171314898954,5.82548062201,0.487491732621,0,0,0,0.512508267379,1,0,1
76,5,1,0.171314898954,6.00643941248,0.494028451707,0,0,0,0.505971548293,1,0,1
77,5,2,0.0856574494771,9.01294425404,0.304835033895,0,0,0,0.695164966105,1,1,1
78,5,3,0.0856574494771,9.01294425404,0.304835033895,0,0,0,0.695164966105,1,1,1
79,5,4,0.0856574494771,15.9789834504,0.475241684148,0,0,0,0.524758315852,1,1,1
80,5,5,0.0428287247385,15.5467745081,0.597776905297,0,0,0,0.402223094703,1,0,1
81,5,6,0.214143623693,5.59044442136,0.357276508499,0,0,0,0.642723491501,1,0,1
82,5,7,0.128486174216,17.3260292202,0.450345945029,0,0,0,0.549654054971,1,0,1
83,5,8,0.128486174216,17.3260292202,0.450345945029,0,0,0,0.549654054971,1,0,1
84,5,9,0.256972348431,11.6791679097,0.506215794705,0,0,0,0.493784205295,1,0,1
85,5,10,0.128486174216,11.1102308539,0.442071377936,0,0,0,0.557928622064,1,0,1
86,5,11,0.128486174216,11.1102308539,0.442071377936,0,0,0,0.557928622064,1,0,1
87,5,12,0.29980107317,13.4155273837,0.517087525583,0,0,0,0.482912474417,1,0,1
88,5,13,0.128486174216,20.2177198071,0.39909999331,0,0,0,0.60090000669,1,0,1
89,5,14,0.128486174216,20.2177198071,0.39909999331,0,0,0,0.60090000669,1,0,1
90,6,0,0.171314898954,10.196434948,0.489692300702,0,0,0,0.510307699298,1,0,1
91,6,1,0.171314898954,6.00643941248,0.494028451707,0,0,0,0.505971548293,1,0,1
92,6,2,0.171314898954,6.00643941248,0.494028451707,0,0,0,0.505971548293,1,0,1
93,6,3,0.256972348431,11.0074459764,0.54823058625,0,0,0,0.45176941375,1,0,1
94,6,4,0.0428287247385,8.31575171071,0.519594663957,0,0,0,0.480405336043,1,0,1
95,6,5,0.171314898954,14.087530072,0.516257145377,0,0,0,0.483742854623,1,0,1
96,6,6,0.0856574494771,11.0163384101,0.433927909285,0,0,0,0.566072090715,1,1,1
