scene	num_vectors	num_samples	dwell_s	prf_hz	max_pulses	seconds_kept
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951	283005	27650	29.977	9440.8	56645	6.0000
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313	289754	23329	28.234	10262.6	61576	6.0000
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457	289795	23328	28.242	10261.3	61568	6.0000
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047	277427	31494	34.797	7972.8	47837	6.0000
CAPELLA_C10_SP_CPHD_HH_20240608005508_20240608005534	265681	23042	25.728	10326.6	61960	6.0000
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443	311043	28800	34.425	9035.3	54212	6.0000
CAPELLA_C09_SP_CPHD_HH_20240605112941_20240605113010	277193	27650	29.529	9387.3	56324	6.0000
CAPELLA_C09_SP_CPHD_HH_20240613070349_20240613070421	271135	30722	32.545	8331.1	49987	6.0000
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100	277217	25602	27.735	9995.4	59972	6.0000
CAPELLA_C10_SP_CPHD_HH_20240720154849_20240720154920	283430	28802	30.857	9185.1	55111	6.0000
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205	295625	24000	28.825	10255.7	61534	6.0000
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357	295582	24002	28.767	10275.0	61650	6.0000
CAPELLA_C10_SP_CPHD_HH_20240627162715_20240627162745	283484	27650	29.854	9495.5	56973	6.0000
CAPELLA_C10_SP_CPHD_HH_20240919044744_20240919044817	265613	31494	33.433	7944.6	47667	5.9999
CAPELLA_C15_SP_CPHD_HH_20240921083038_20240921083105	267691	25601	27.683	9669.7	58018	6.0000
CAPELLA_C10_SP_CPHD_HH_20240831215822_20240831215849	271426	25602	27.139	10001.3	60008	6.0000
