collect amp_mm reported_hz prominence twin_llr twin_p
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 0.00 0.665 9.9 - -
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 0.13 0.665 9.9 1.092 0.0925
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 0.26 0.998 16.5 1.092 0.0924
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 0.53 0.998 24.4 1.092 0.0924
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 1.06 0.998 28.3 1.544 0.0566
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 2.12 0.998 29.7 1.551 0.0562
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 0.00 0.499 8.8 - -
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 0.13 0.997 10.5 0.149 0.3139
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 0.26 0.997 21.0 0.149 0.3142
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 0.53 0.997 27.0 1.489 0.0600
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 1.06 0.997 29.1 1.490 0.0599
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 2.12 0.997 29.8 1.493 0.0597
INJFLOOR_DONE
