# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.0234529732963 t_sap_s=0.0234529732963
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.83212377625 agree=9 voting=225 distinct=75 largest_block=4
# modal_lead_hz=0
# df_hz=0.166556706932 quant_px=0 coherence_gate=0.377156494328 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=1.33245365546 agree=8 input=225 survivors=88 snr_cull=0 sigma_cull=0 neigh_cull=137 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.471822627513 median=0.54483148903 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=88
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
0,0,0,9.99340241593,5.48061834025,0.579305497601,0,0,0,0.513091249434,1,0,0,0.461480190557
1,0,1,4.33047438024,4.21070454544,0.572121359912,0,0,0,0.56461037369,1,0,0,0.430797799015
2,0,2,6.16259815649,3.41172497074,0.595778629559,0,0,0,0.471822627513,1,0,0,0.455833606063
3,0,3,3.16457743171,4.04245220367,0.666460009088,0,0,0,0.563535015148,1,0,1,0.406624675881
4,0,4,3.16457743171,4.04245220367,0.625437287109,0,0,0,0.563535015148,1,0,0,0.406624675881
5,0,5,16.9887841071,3.83537476623,0.61750800489,0,0,0,0.568328697929,1,0,0,0.425048176799
6,0,6,20.4864749527,4.7325891746,0.660551573164,0,0,0,0.524496718365,1,0,0,0.435400556641
7,0,7,17.9881243487,8.89725406359,0.65440325904,0,0,0,0.53769383606,1,0,0,0.417354087487
8,0,8,1.33245365546,4.75093591923,0.675167461166,0,0,0,0.55409238839,1,0,1,0.400854834969
9,0,9,1.33245365546,4.75093591923,0.632325731933,0,0,0,0.55409238839,1,0,1,0.400854834969
10,0,10,3.16457743171,7.8267070656,0.684722163417,0,0,0,0.536120214374,1,0,0,0.41214798247
11,0,11,3.16457743171,7.8267070656,0.657898599011,0,0,0,0.536120214374,1,0,0,0.41214798247
12,0,12,16.8222274001,5.64208639545,0.601147732526,0,0,0,0.529925849806,1,0,0,0.467293136434
13,0,13,12.6583097268,3.81237256595,0.663049421239,0,0,0,0.523487334648,1,0,0,0.434408019438
14,0,14,17.4884542279,4.96952421668,0.663046591997,0,0,0,0.512888613161,1,0,0,0.456004100104
15,1,0,20.6530316596,5.74140715628,0.636712960228,0,0,0,0.507287673551,1,0,0,0.436509879367
16,1,1,13.4910932615,5.70520407,0.662160442221,0,0,0,0.530187228184,1,0,0,0.426687174532
17,1,2,13.4910932615,5.70520407,0.689300561306,0,0,0,0.530187228184,1,0,0,0.426687174532
18,1,3,3.16457743171,4.04245220367,0.660623165021,0,0,0,0.563535015148,1,0,0,0.406624675881
19,1,4,21.1527017804,5.17756537766,0.645902142802,0,0,0,0.532396654111,1,0,1,0.424407669192
20,1,5,21.1527017804,5.17756537766,0.633177021322,0,0,0,0.532396654111,1,0,1,0.424407669192
21,1,6,10.6596292437,3.82378263441,0.704542589984,0,0,0,0.568331270086,1,0,1,0.465711980392
22,1,7,10.6596292437,3.82378263441,0.691490511917,0,0,0,0.568331270086,1,0,0,0.465711980392
23,1,8,1.33245365546,4.75093591923,0.675692260868,0,0,0,0.55409238839,1,0,1,0.400854834969
24,1,9,1.33245365546,4.75093591923,0.613304484272,0,0,0,0.55409238839,1,0,1,0.400854834969
25,1,10,11.9920828991,6.70801959625,0.673121634167,0,0,0,0.520530188573,1,0,1,0.401377295377
26,1,11,11.9920828991,6.70801959625,0.670999276668,0,0,0,0.520530188573,1,0,1,0.401377295377
27,1,12,5.66292803569,4.22279234821,0.588463901801,0,0,0,0.542190889079,1,0,0,0.397272205262
