# per-window evidence behind the reported selection
# estimator=phase reference=first looks=128 overlap=0 dt_s=0.046959429882 t_sap_s=0.046959429882
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.33093609009 agree=10 voting=225 distinct=51 largest_block=2
# modal_lead_hz=10.1483876869
# df_hz=0.166367011261 quant_px=0 coherence_gate=0.395531280711 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=7.32014849549 agree=8 input=225 survivors=56 snr_cull=0 sigma_cull=0 neigh_cull=169 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.47815009276 median=0.56677554156 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=56
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm,stable_hz,stable
0,0,0,5.32374436036,4.86167053612,0.652862945803,0,0,0,0.586526700839,1,0,0,0.568847931217,0.499101033784,0
1,0,1,10.1483876869,4.95343784268,0.703382559188,0,0,0,0.556864622715,1,0,0,0.521611904713,18.9658392838,-1
2,0,2,10.1483876869,4.95343784268,0.688738326083,0,0,0,0.556864622715,1,0,0,0.521611904713,18.9658392838,-1
3,0,3,2.66187218018,3.54135600827,0.660389325164,0,0,0,0.599266454188,1,0,0,0.561845735504,15.9712330811,-1
4,0,4,1.83003712387,4.61974746707,0.686219024056,0,0,0,0.530047189311,1,0,0,0.549281800849,14.4739299797,-1
5,0,5,2.9946062027,7.37951888168,0.668913391876,0,0,0,0.586973740268,1,0,0,0.526796727974,11.6456907883,-1
6,0,6,2.9946062027,7.37951888168,0.662011791298,0,0,0,0.586973740268,1,0,0,0.526796727974,11.6456907883,-1
7,0,7,1.66367011261,4.79707622224,0.643931195403,0,0,0,0.518172041196,1,0,0,0.588716498737,10.813855732,-1
8,0,8,1.83003712387,5.98645053802,0.706775800792,0,0,0,0.565031830206,1,0,0,0.516231488205,10.813855732,-1
9,0,9,1.83003712387,5.98645053802,0.72250792933,0,0,0,0.565031830206,1,0,0,0.516231488205,19.6313073288,-1
10,0,10,1.99640413513,3.84476379481,0.646819314217,0,0,0,0.579843759605,1,0,0,0.588717798033,19.6313073288,-1
11,0,11,1.99640413513,3.84476379481,0.639605759692,0,0,0,0.579843759605,1,0,0,0.588717798033,10.813855732,-1
12,0,12,3.82644125901,3.88404845319,0.699324401647,0,0,0,0.524298593338,1,0,0,0.549190376799,1.83003712387,0
13,0,13,3.82644125901,3.88404845319,0.651881679241,0,0,0,0.524298593338,1,0,0,0.549190376799,1.83003712387,0
14,0,14,8.31835056306,5.16382909646,0.694884840534,0,0,0,0.543852586949,1,0,0,0.540614563475,0.499101033784,0
15,1,0,6.82104746171,5.59700067131,0.650324219888,0,0,0,0.540743139436,1,0,0,0.624508912862,2.32913815766,0
16,1,1,4.82464332657,4.08928023352,0.70204030154,0,0,0,0.620142903884,1,0,0,0.609944237802,18.9658392838,-1
17,1,2,4.82464332657,4.08928023352,0.699229471206,0,0,0,0.620142903884,1,0,0,0.609944237802,18.9658392838,-1
18,1,3,5.49011137162,3.6781309549,0.663412219051,0,0,0,0.572931686333,1,0,0,0.5491368029,0.998202067567,0
19,1,4,9.15018561937,5.42936473152,0.636757810587,0,0,0,0.496075304942,1,0,0,0.535719837663,20.1304083626,-1
20,1,5,4.49190930405,3.72251896726,0.601753247672,0,0,0,0.543276226263,1,0,0,0.549667813005,13.8084619347,-1
21,1,6,1.49730310135,4.25255491232,0.69819390488,0,0,0,0.50350665603,1,0,1,0.486838020014,13.8084619347,-1
22,1,7,1.49730310135,4.25255491232,0.730310397904,0,0,0,0.50350665603,1,0,1,0.486838020014,10.813855732,-1
23,1,8,3.16097321396,5.75507154909,0.689099078136,0,0,0,0.543161342857,1,0,0,0.521541012653,10.813855732,-1
24,1,9,7.98561654054,5.14433400514,0.706995736373,0,0,0,0.56677554156,1,0,0,0.506369246987,10.813855732,-1
25,1,10,7.98561654054,5.14433400514,0.652797522531,0,0,0,0.56677554156,1,0,0,0.506369246987,10.813855732,-1
26,1,11,1.16456907883,4.04611773227,0.685662058718,0,0,0,0.575062143603,1,0,0,0.612364075174,2.49550516892,0
27,1,12,2.49550516892,4.09826136321,0.688173199824,0,0,0,0.529485613544,1,0,0,0.464585991122,16.4703341149,-1
28,1,13,1.66367011261,4.78315371363,0.630083279,0,0,0,0.516996594178,1,0,0,0.499005506743,16.4703341149,-1
29,1,14,1.66367011261,4.78315371363,0.687953740797,0,0,0,0.516996594178,1,0,0,0.499005506743,7.81924952928,0
30,2,0,6.82104746171,5.59700067131,0.645321509478,0,0,0,0.540743139436,1,0,0,0.624508912862,2.32913815766,0
