collect rel reported_hz prominence target_floor_mm phase_sd scene_median_mm
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 ctl 1.331 11.9 0.3588 1.591 0.4113
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 20 0.998 22.0 0.0017 0.008 0.3980
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 10 1.331 11.9 0.3588 1.591 0.3980
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 5 1.331 11.9 0.3588 1.591 0.3980
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 2 1.331 11.9 0.3588 1.591 0.3980
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 1 1.331 11.9 0.3588 1.591 0.4021
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 ctl 20.486 10.1 0.4129 1.831 0.4125
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 20 0.999 32.7 0.0018 0.008 0.4055
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 10 0.999 12.6 0.0022 0.010 0.4055
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 5 20.486 10.1 0.4129 1.831 0.4055
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 2 20.486 10.1 0.4129 1.831 0.4055
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 1 20.486 10.1 0.4129 1.831 0.4061
RELSWEEP256_DONE
