collect rel reported_hz prominence target_floor_mm scene_median_mm
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 20 0.998 16.5 0.0022 0.5400
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 10 0.665 9.9 0.4860 0.5378
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 5 0.665 9.9 0.4860 0.5400
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 2 0.665 9.9 0.4860 0.5405
CAPELLA_C10_SP_CPHD_HH_20240609091921_20240609091951 1 0.665 9.9 0.4860 0.5453
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 20 0.997 21.0 0.0023 0.5346
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 10 0.997 10.5 0.0025 0.5307
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 5 0.499 8.8 0.4985 0.5307
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 2 0.499 8.8 0.4985 0.5307
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313 1 0.499 8.8 0.4985 0.5335
RELSWEEP_DONE
