network_code|network_restricted_status|station_code|station_latitude|station_longitude|station_elevation_m|station_name|station_restricted_status|start_time|end_time
WM|public|AVE|33.2981|-7.4133|230|ROA UCM GEOFON Station Averroes Morocco|public|2011-11-24T16:00:00|-
ES|public|EMLI|35.294878|-2.957829|85|Ciudad de Melilla Melilla Spain|public|2002-06-21T00:00:00|-
ES|public|EALB|35.939897|-3.034254|20|Alboran Island Almeria Spain|public|2001-04-10T00:00:00|-
MN|public|WDD|35.8373|14.5242|44|Wied Dalam  Malta|public|1995-07-06T00:00:00|-
GE|public|IMMV|35.4606|23.9811|230|NOA GEOFON Station Iera Moni Varipetrou Greece|public|2010-07-14T00:00:00|-
HI|public|PLC1|35.23119|23.6825|3|Town Hall Conference Hall  Palaiochora Chania Crete|public|2013-02-01T00:00:00|-
HI|public|KIS1|35.493933|23.658993|24|Town Hall Kissamos Chania Crete|public|2013-02-01T00:00:00|-
HL|public|IMMV|35.4606|23.9811|230|NOA GEOFON Iera Moni Varipetrou Greece|public|2010-07-16T00:00:00|-
HL|public|ANKY|35.86704|23.30117|143|Antikythira Island  Greece|public|2010-01-01T00:00:00|-
GE|public|KARP|35.5471|27.16106|524|NOA RUB GEOFON Station Karpathos Greece|public|2009-11-25T00:00:00|-
HC|public|TEFL|35.093273|25.163418|353|Tefeli  Heraklion  Crete|public|2022-07-13T00:00:00|-
HC|public|SOUD|35.4878|24.0678|5|Souda Bay Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|POLY|35.5226|24.0602|160|High School Akrotiri Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|PASK|35.4996|24.0121|18|Pasakaki Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|NERO|35.474|24.0423|77|Nerokourou Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|MULT|35.5091|24.0118|18|Pachiana Chania Crete Is.|public|2021-06-10T00:00:00|-
HC|public|LENT|35.5074|24.0402|76|Lentarian Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|G0LD|35.4955|24.0306|15|Chrisopigi Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|DEYA|35.4825|24.014|41|Deyax Mournies Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|ATEI|35.5193|24.0432|59|HMU Chania Crete Is. Greece|public|2021-06-10T00:00:00|-
HC|public|ABEA|35.5163|24.0113|9|1o LYKEIO XANION Nea Chora Chania Crete Is . Greece|public|2021-06-10T00:00:00|-
HI|public|SIT2|35.2059|26.107|0|TownHall Siteia Lasithi Crete|public|2013-02-02T00:00:00|-
HI|public|SIT1|35.20822|26.10549|9999|SIT1|public|-|-
HI|public|SFK2|35.211556|24.188889|176|Health Center Vouvas Chania Crete|public|2019-07-19T00:00:00|-
