#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
1J|FX01|37.0586|15.2964|50|Ortigia|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX02|37.1775|15.1357|272|Melilli|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX03|37.2992|15.0017|34|Lentini|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX04|37.4261|15.0431|10|Catania (Playa)|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX06|37.5223|15.0037|118|Misterbianco|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX07|37.5521|15.1452|49|Aci Castello|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX08|37.7352|15.2006|13|Riposto|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX09|37.8203|15.2664|23|Giardini Naxos|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX10|37.957|15.3777|29|S. Teresa di Riva|2021-12-22T08:00:00|2023-02-02T23:59:00
1J|FX11|38.1019|15.4868|19|S.Stefano Medio|2021-12-22T08:00:00|2023-04-17T12:00:00
1J|FX12|38.0895|15.7176|253.0|Cataforio|2021-12-22T08:08:00|2023-06-15T00:00:00
1J|FX13|37.945|15.7075|21|Montebello Jonico - Saline|2021-12-22T08:00:00|2023-04-18T12:00:00
1J|FX14|37.9286|15.907|21.0|Bova Marina|2021-12-22T08:00:00|2023-06-15T00:00:00
2D|RE01|44.581|10.31287|522.0|Neviano Degli Arduini - PR|2008-12-23T20:45:00|2009-02-06T20:00:00
2D|RE02|44.56721|10.46729|500.0|Canossa - RE|2008-12-24T10:35:00|2009-01-26T15:00:00
2D|RE03|44.524|10.39379|545.0|Vedriano (Canossa) - RE|2008-12-24T00:00:00|2009-01-26T16:10:00
2D|RE04|44.60832|10.52047|255.0| Sedrio - Vezzano sul Crostolo (RE) |2008-12-24T00:00:00|2009-01-26T14:00:00
2D|RE05|44.40178|10.32703|1007.0|Terme di Santa Lucia - Busana (RE)|2008-12-24T11:00:00|2009-01-23T16:00:00
2D|RE06|44.45109|10.23042|680.0| Pratopiano - Palanzano (PR)|2008-12-24T13:30:00|2009-01-24T21:00:00
2D|RE07|44.52589|10.19841|745.0|Tizzano Val di Parma - PR|2008-12-24T08:00:00|2009-02-11T09:00:00
2D|RE08|44.52368|10.69985|301.0| Castello di San Castellarano (RE)|2008-12-24T08:00:00|2009-01-20T17:00:00
2I|CBUL|40.8312|14.1627|18.0|Campi Flegrei, Bullongamma - Stazione TESNET-OV|2025-06-03T00:00:00|2050-12-31T23:59:00
2I|CGAU|40.852345|14.112967|140.0||2024-06-13T00:00:00|2050-12-31T23:59:59
2I|CLAC|40.8836|14.0706|55.0| Licola ACAR - Stazione TESNET-OV|2024-11-12T00:00:00|2050-12-31T23:59:00
2I|CREM|40.823459|14.128082|87.0||2024-10-31T00:00:00|2050-12-31T23:59:59
