auditing 410 hits, 76 distinct stations
  ABOVE FLOOR ES.CENR.HHE 5.87 um  El Paso (La Palma),Spain
  ABOVE FLOOR AM.R349C.ENE 21.93 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 20.30 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 18.52 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 22.37 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 22.56 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 22.75 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 27.70 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 23.06 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 23.68 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 21.99 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 23.00 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 20.90 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 24.51 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 26.06 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 19.89 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 25.96 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 24.16 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 23.99 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 29.98 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 23.82 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 29.11 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 28.33 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 24.73 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 19.73 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENE 27.69 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENN 24.02 um  Raspberry Shake Citizen Science St
  ABOVE FLOOR AM.R349C.ENZ 26.50 um  Raspberry Shake Citizen Science St
 WARNING (norm_resp): computed and reported sensitivities differ by more than 5 percent. 
	 Execution continuing.
 WARNING (norm_resp): computed and reported sensitivities differ by more than 5 percent. 
	 Execution continuing.
 WARNING (norm_resp): computed and reported sensitivities differ by more than 5 percent. 
	 Execution continuing.
  25/410  stations measured 13
  50/410  stations measured 27
  ABOVE FLOOR HV.UWB.HHE 11.78 um  Uwekahuna Bluff Hawaii
  ABOVE FLOOR HV.WRM.HHE 5.59 um  West Rim Hawaii Digital
  75/410  stations measured 34
  ABOVE FLOOR HV.WRM.HHZ 45.23 um  West Rim Hawaii Digital
  ABOVE FLOOR HV.WRM.HHZ 10.09 um  West Rim Hawaii Digital
  ABOVE FLOOR HV.WRM.HHZ 9.64 um  West Rim Hawaii Digital
