scene,net,sta,cha,sps,lat,lon,name,rms_um,peak_um,above_floor
CAPELLA_C02_SP_CPHD_HH_20210122225353_20210122225418,AM,R5791,EHZ,100.0,40.873873873873876,-73.96025745354171,Raspberry Shake Citizen Science Station,0.2057,0.4307,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HH1,100.0,32.684047,-96.87833,Dallas Executive Airport,0.2693,0.571,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HH2,100.0,32.684047,-96.87833,Dallas Executive Airport,0.3908,1.1738,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HHZ,100.0,32.684047,-96.87833,Dallas Executive Airport,0.2952,0.6171,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HN1,200.0,32.684047,-96.87833,Dallas Executive Airport,0.0082,0.031,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HN2,200.0,32.684047,-96.87833,Dallas Executive Airport,0.0078,0.0263,0
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,TX,FW01,HNZ,200.0,32.684047,-96.87833,Dallas Executive Airport,0.0147,0.0504,0
CAPELLA_C05_SP_CPHD_HH_20211020065906_20211020065928,Z2,HASL,HHE,200.0,18.3845,-73.415,L'Asile,0.3159,0.8513,0
CAPELLA_C05_SP_CPHD_HH_20211020065906_20211020065928,Z2,HASL,HHN,200.0,18.3845,-73.415,L'Asile,0.3825,0.9513,0
CAPELLA_C05_SP_CPHD_HH_20211020065906_20211020065928,Z2,HASL,HHZ,200.0,18.3845,-73.415,L'Asile,0.119,0.3149,0
CAPELLA_C02_SP_CPHD_HH_20210212074546_20210212074612,FR,CURIE,HHE,100.0,48.8445,2.3558,bâtiment Curie,1.3611,3.1287,0
CAPELLA_C02_SP_CPHD_HH_20210212074546_20210212074612,FR,CURIE,HHN,100.0,48.8445,2.3558,bâtiment Curie,2.476,5.8448,0
CAPELLA_C02_SP_CPHD_HH_20210212074546_20210212074612,FR,CURIE,HHZ,100.0,48.8445,2.3558,bâtiment Curie,1.0998,2.4913,0
CAPELLA_C02_SP_CPHD_HH_20210310215642_20210310215708,IV,VENL,HNE,100.0,45.4167,12.3765,Venezia Lido,0.0871,0.3537,0
CAPELLA_C02_SP_CPHD_HH_20210310215642_20210310215708,IV,VENL,HNN,100.0,45.4167,12.3765,Venezia Lido,0.0992,0.322,0
CAPELLA_C02_SP_CPHD_HH_20210310215642_20210310215708,IV,VENL,HNZ,100.0,45.4167,12.3765,Venezia Lido,0.1506,0.5293,0
CAPELLA_C03_SP_CPHD_HH_20210918105851_20210918105915,ES,CDLV,HHE,100.0,29.16311,-13.44389,"Haria (Lanzarote),Spain",0.2606,0.6422,0
CAPELLA_C03_SP_CPHD_HH_20210918105851_20210918105915,ES,CDLV,HHN,100.0,29.16311,-13.44389,"Haria (Lanzarote),Spain",0.1601,0.4759,0
CAPELLA_C03_SP_CPHD_HH_20210918105851_20210918105915,ES,CDLV,HHZ,100.0,29.16311,-13.44389,"Haria (Lanzarote),Spain",0.2627,0.6863,0
CAPELLA_C06_SS_CPHD_HH_20210923045403_20210923045419,ES,EXILP,HNE,200.0,28.66082,-17.912222,"Los Llanos de Aridane - La Palma,Spain",0.6799,2.1201,0
