scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C15_SP_CPHD_HH_20241115212743_20241115212823,40.1,AM,RC269,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,RASPISHAKE,2024-11-15T21:28:23Z,2024-11-15T21:29:03Z,6656
CAPELLA_C13_SP_CPHD_HH_20241008104829_20241008104908,39.0,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-08T10:49:07Z,2024-10-08T10:49:45Z,24064
CAPELLA_C14_SP_CPHD_HH_20240924060907_20240924060945,38.4,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-09-24T06:09:08Z,2024-09-24T06:09:46Z,25600
CAPELLA_C13_SP_CPHD_HH_20241003024738_20241003024817,38.2,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-03T02:48:16Z,2024-10-03T02:48:54Z,29184
CAPELLA_C15_SP_CPHD_HH_20241114212350_20241114212427,37.6,AM,RC269,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,RASPISHAKE,2024-11-14T21:24:27Z,2024-11-14T21:25:04Z,6656
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,35.9,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-09T00:45:12Z,2024-10-09T00:45:47Z,26624
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,30208
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,29696
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,26624
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,18944
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,15872
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,15872
CAPELLA_C10_SP_CPHD_HH_20240611004012_20240611004047,34.8,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-11T00:40:12Z,2024-06-11T00:40:46Z,15360
CAPELLA_C13_SP_CPHD_HH_20241010111409_20241010111443,34.4,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-10T11:14:43Z,2024-10-10T11:15:17Z,23040
CAPELLA_C10_SP_CPHD_HH_20240615223406_20240615223440,34.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-15T22:34:06Z,2024-06-15T22:34:40Z,27136
CAPELLA_C10_SP_CPHD_HH_20240615223406_20240615223440,34.2,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-15T22:34:06Z,2024-06-15T22:34:40Z,27136
