scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C02_SP_CPHD_HH_20210122225353_20210122225418,24.5,AM,R5791,40.873873873873876,-73.96025745354171,Raspberry Shake Citizen Science Station,?,2021-01-22T22:54:18Z,2021-01-22T22:54:42Z,3584
CAPELLA_C02_SS_CPHD_HH_20210129163354_20210129163410,15.4,TX,FW01,32.684047,-96.87833,Dallas Executive Airport,?,2021-01-29T16:34:10Z,2021-01-29T16:34:25Z,19968
CAPELLA_C05_SP_CPHD_HH_20211020065906_20211020065928,21.9,Z2,HASL,18.3845,-73.415,L'Asile,?,2021-10-20T06:59:28Z,2021-10-20T06:59:49Z,15360
CAPELLA_C02_SP_CPHD_HH_20210212074546_20210212074612,26.6,FR,CURIE,48.8445,2.3558,bâtiment Curie,?,2021-02-12T07:46:12Z,2021-02-12T07:46:38Z,40960
CAPELLA_C02_SP_CPHD_HH_20210310215642_20210310215708,25.6,IV,VENL,45.4167,12.3765,Venezia Lido,?,2021-03-10T21:57:08Z,2021-03-10T21:57:33Z,10752
CAPELLA_C03_SP_CPHD_HH_20210918105851_20210918105915,23.2,ES,CDLV,29.16311,-13.44389,"Haria (Lanzarote),Spain",?,2021-09-18T10:59:15Z,2021-09-18T10:59:38Z,9216
CAPELLA_C06_SS_CPHD_HH_20210923045403_20210923045419,15.5,ES,EXILP,28.66082,-17.912222,"Los Llanos de Aridane - La Palma,Spain",?,2021-09-23T04:54:19Z,2021-09-23T04:54:34Z,11264
CAPELLA_C03_SP_CPHD_HH_20210924111937_20210924112002,25.2,ES,CENR,28.62581,-17.84609,"El Paso (La Palma),Spain",?,2021-09-24T11:20:02Z,2021-09-24T11:20:27Z,19968
CAPELLA_C06_SP_CPHD_HH_20210926185511_20210926185538,26.8,ES,CENR,28.62581,-17.84609,"El Paso (La Palma),Spain",?,2021-09-26T18:55:38Z,2021-09-26T18:56:04Z,21504
CAPELLA_C05_SP_CPHD_HH_20210929031840_20210929031905,25.7,ES,CENR,28.62581,-17.84609,"El Paso (La Palma),Spain",?,2021-09-29T03:19:06Z,2021-09-29T03:19:31Z,19968
