# per-window evidence behind the reported selection
# consensus_hz=0.504032258065 agree=4 voting=49 distinct=36 largest_block=2
# df_hz=0.0504032258065 quant_px=0.005 coherence_gate=0.0367299711022 floor_px=0.012245 n_win_az=7 n_win_rg=7
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,passed_gates,agrees_with_consensus
0,0,0,2.87298387097,4.35490333744,0.0567127412194,31.715,1,0
1,0,1,0.85685483871,3.70880293433,0.0683101744824,31.66,1,0
2,0,2,1.31048387097,6.92183457019,0.0715938176934,31.31,1,0
3,0,3,2.46975806452,4.91254159667,0.0628967488706,31.99,1,0
4,0,4,2.92338709677,5.8992995487,0.0615485139539,31.14,1,0
5,0,5,1.66330645161,3.41664542968,0.0668459878547,29.455,1,0
6,0,6,0.302419354839,3.42731086613,0.0602394919705,31.455,1,0
7,1,0,0.352822580645,4.30160455453,0.0624548349633,31.315,1,0
8,1,1,0.655241935484,5.48605524123,0.058632331228,31.545,1,0
9,1,2,2.57056451613,3.92189277434,0.0608398532189,31.485,1,0
10,1,3,2.21774193548,7.4203241551,0.0637550506307,30.81,1,0
11,1,4,0.201612903226,3.34004320366,0.0651429610439,31.035,1,0
12,1,5,0.806451612903,4.35728807519,0.0590846639682,31.265,1,0
13,1,6,1.81451612903,5.78409711482,0.0631009849394,30.36,1,0
14,2,0,2.01612903226,4.65767641391,0.0521329517391,32.27,1,0
15,2,1,0.403225806452,4.12860558209,0.063126197295,29.985,1,0
16,2,2,0.70564516129,5.71515252922,0.0734599422045,32.17,1,0
17,2,3,1.96572580645,4.88758083454,0.0647330917297,31.78,1,0
18,2,4,2.72177419355,5.12068481269,0.0610030526066,31.745,1,0
19,2,5,1.76411290323,5.31612820384,0.056677275068,31.06,1,0
20,2,6,1.66330645161,7.33955314655,0.0608997509607,30.865,1,0
21,3,0,0.957661290323,4.63398027888,0.0581698701972,31.415,1,0
22,3,1,2.77217741935,3.81111282168,0.0605127946953,31.085,1,0
23,3,2,0.85685483871,3.90369935002,0.0667290436154,30.605,1,0
24,3,3,0.352822580645,5.19320300623,0.0580441328712,31.615,1,0
25,3,4,3.07459677419,4.3625481155,0.0593686226249,31.915,1,0
26,3,5,0.453629032258,5.02670406625,0.0651422606547,31.125,1,0
27,3,6,0.756048387097,3.00070145114,0.0665310635714,30.99,1,0
28,4,0,0.504032258065,4.11221437351,0.0706225613354,31.06,1,1
29,4,1,2.77217741935,6.22793253276,0.0628645035183,30.355,1,0
30,4,2,0.554435483871,4.04797798585,0.0589736694279,31.645,1,0
31,4,3,1.36088709677,3.98374973807,0.0604309065657,31.1,1,0
32,4,4,2.01612903226,3.41434732069,0.0620732162877,31.635,1,0
33,4,5,1.00806451613,4.24524294635,0.0634847361995,31.395,1,0
34,4,6,1.05846774194,4.83260627016,0.0644042426238,31.04,1,0
35,5,0,1.66330645161,4.68644349624,0.0632775211917,31.55,1,0
36,5,1,1.61290322581,7.09391630009,0.0601473644998,30.945,1,0
37,5,2,2.72177419355,4.03302098759,0.0607764679883,31.73,1,0
38,5,3,3.17540322581,4.11469055757,0.0606781151689,31.355,1,0
39,5,4,1.91532258065,4.46257683364,0.0572707038938,31.055,1,0
40,5,5,0.806451612903,3.45216702393,0.0657171423471,31.37,1,0
41,5,6,0.604838709677,6.45399159619,0.0649970704967,31.365,1,0
42,6,0,1.71370967742,3.85276362802,0.0588695717526,31.725,1,0
43,6,1,0.504032258065,5.63393721934,0.0612879715417,31.73,1,1
44,6,2,2.46975806452,5.65465614108,0.0650058627123,30.16,1,0
45,6,3,0.756048387097,4.60894097289,0.0556204350388,31.345,1,0
46,6,4,0.252016129032,3.84289148723,0.0551380794899,31.03,1,0
47,6,5,0.504032258065,6.66150660916,0.0648871015892,29.955,1,1
48,6,6,0.504032258065,8.2557808417,0.0604703042822,30.935,1,1
