# per-window evidence behind the reported selection
# estimator=correlation reference=first looks=128 overlap=0 dt_s=0.155 t_sap_s=0.155
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=0.604838709677 agree=4 voting=49 distinct=33 largest_block=1
# df_hz=0.0504032258065 quant_px=0.005 coherence_gate=0.0387342996416 floor_px=0.012245 n_win_az=7 n_win_rg=7
# cull_hz=0 agree=0 input=49 survivors=0 snr_cull=49 sigma_cull=0 neigh_cull=0 snr_gate=15.0183515035 snr_null=7.50917575175 sigma_gate_px=186.953720164 gates=1
# amplitude_dispersion best=0.177959470424 median=0.452161962928 n_meeting_0.25=11
# passed_cull_source=selector expected_sum=0
# probe_hz=0.55 probe_bin=11 probe_bin_hz=0.554435483871
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,probe_psd,probe_prominence
0,0,0,1.66330645161,5.95687065084,0.0585769752991,31.605,6.03649625064,201.605202385,0.498035800392,1,0,0,0.00181733621467,1.66734721566
1,0,1,0.70564516129,6.51346700121,0.0632219456579,31.28,6.37256182683,94.0638682809,0.4830185488,1,0,0,0.000550651476143,0.844179632031
2,0,2,1.15927419355,4.18305171804,0.065132533512,31.995,7.08054916831,128.676742111,0.4830185488,1,0,0,0.000433443513582,0.382457065149
3,0,3,2.67137096774,4.13135878056,0.0612265510824,32.215,8.82531163846,94.5644120675,0.461997015898,1,0,0,0.00128995966145,0.942367187893
4,0,4,1.86491935484,3.99875088695,0.0588803665643,31.69,6.54687009759,95.2082324295,0.177959470424,1,0,0,0.000713777484685,0.891094061509
5,0,5,2.41935483871,4.20914884622,0.0679687650372,31.145,6.07477735484,24.0288368452,0.400907070374,1,0,0,0.000212781759065,0.44548461593
6,0,6,1.5625,4.48074328743,0.0561711929583,31.77,7.31288953434,41.0491564541,0.452161962928,1,0,0,0.00302213347653,2.01607796583
7,1,0,2.26814516129,3.89125406745,0.0626871287775,31.03,6.68181898063,155.833086131,0.498035800392,1,0,0,0.000505550007423,0.677825492464
8,1,1,2.67137096774,4.45690786455,0.0631492740649,31.81,6.60489580483,93.4768600821,0.4830185488,1,0,0,0.00106756905041,0.91550588411
9,1,2,1.91532258065,3.3345848082,0.0557901830262,31.5,5.82652758626,36.9539610131,0.4830185488,1,0,0,0.00134608105694,1.05024230736
10,1,3,0.655241935484,5.79877877278,0.0637539717858,30.855,6.41371622001,92.949751407,0.456105981992,1,0,0,0.00021149097888,0.380752159493
11,1,4,0.201612903226,4.62383125889,0.0671875061676,31.38,6.81463345566,92.3646587796,0.412977592753,1,0,0,8.65226287575e-06,0.0183783653095
12,1,5,2.41935483871,3.42111999175,0.0528201522348,31.43,6.00561451435,95.6450590695,0.412977592753,1,0,0,0.00148369404895,1.51354912137
13,1,6,2.62096774194,5.04884607238,0.0605430757446,31.265,7.59050452174,30.2692279023,0.452161962928,1,0,0,9.12607202224e-05,0.136547275008
14,2,0,1.31048387097,4.58214881518,0.0516254736327,31.44,6.58206963549,95.8554302846,0.522965236672,1,0,0,0.00349046081293,3.97770356536
15,2,1,2.57056451613,3.93130638811,0.0594421517287,30.915,6.97627851208,92.8443357048,0.496997819694,1,0,0,0.000804949222916,1.52095298449
16,2,2,1.41129032258,3.97608420672,0.073910012201,31.16,7.20644491862,91.5192245111,0.185017219631,1,0,0,3.95521936648e-05,0.0710651792966
17,2,3,3.17540322581,5.16723346269,0.0648451901594,31.04,6.54930183069,92.5277037036,0.185017219631,1,0,0,0.00172916251212,2.24550656025
