# per-window evidence behind the reported selection
# estimator=correlation reference=first looks=128 overlap=0 dt_s=0.155 t_sap_s=0.155
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=0.504032258065 agree=4 voting=49 distinct=36 largest_block=2
# df_hz=0.0504032258065 quant_px=0.005 coherence_gate=0.0367299711022 floor_px=0.012245 n_win_az=7 n_win_rg=7
# cull_hz=0 agree=0 input=49 survivors=0 snr_cull=49 sigma_cull=0 neigh_cull=0 snr_gate=15.0183515035 snr_null=7.50917575175 sigma_gate_px=184.342992326 gates=1
# amplitude_dispersion best=0.407159174591 median=0.502003533723 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull
0,0,0,2.87298387097,4.22816853875,0.0567127412194,31.715,6.95856391181,131.265470485,0.585129932105,1,0,0
1,0,1,0.85685483871,3.63167190453,0.0683101744824,31.66,6.4370524614,26.0282719786,0.515909431593,1,0,0
2,0,2,1.31048387097,6.76356427178,0.0715938176934,31.31,7.00497704792,27.4037927453,0.515909431593,1,0,0
3,0,3,2.46975806452,4.8462237855,0.0628967488706,31.99,8.21705276052,94.1875611989,0.529363888313,1,0,0
4,0,4,2.92338709677,5.83281240633,0.0615485139539,31.14,6.90557239505,130.104515661,0.488618116106,1,0,0
5,0,5,1.66330645161,3.44053708307,0.0668459878547,29.455,6.11548426681,28.3163347683,0.649478898996,1,0,0
6,0,6,0.302419354839,3.41929793044,0.0602394919705,31.455,8.34907930754,36.8559720658,0.582259434923,1,0,0
7,1,0,0.352822580645,4.24587487301,0.0624548349633,31.315,6.5956967759,26.0911980924,0.585129932105,1,0,0
8,1,1,0.655241935484,5.63789045431,0.058632331228,31.545,6.2970175616,34.0509020623,0.810434801789,1,0,0
9,1,2,2.57056451613,3.85376692505,0.0608398532189,31.485,6.58652987932,94.4111715803,0.810434801789,1,0,0
10,1,3,2.21774193548,7.23509769927,0.0637550506307,30.81,6.99920884172,27.7125918955,0.455334441212,1,0,0
11,1,4,0.201612903226,3.2537979061,0.0651429610439,31.035,6.9375196593,92.3472487874,0.411528154217,1,0,0
12,1,5,0.806451612903,4.27960499916,0.0590846639682,31.265,6.16203396427,94.3988062066,0.411528154217,1,0,0
13,1,6,1.81451612903,5.70093312424,0.0631009849394,30.36,8.00250855949,29.4841267993,0.582259434923,1,0,0
14,2,0,2.01612903226,4.60329470653,0.0521329517391,32.27,6.61865030379,97.0800625692,0.495140880647,1,0,0
15,2,1,0.403225806452,4.41383345369,0.063126197295,29.985,7.16236879519,26.3577441447,0.810434801789,1,0,0
16,2,2,0.70564516129,5.69964815112,0.0734599422045,32.17,7.29505192671,92.1714961632,0.810434801789,1,0,0
