rate true_hz seed reported_hz block support policy
41.6667 0.300 7 0.353 block support modal
41.6667 0.300 7 2.571 - - prominence
50 0.400 7 REFUSED - - modal
50 0.400 7 1.714 - - prominence
58 0.450 7 1.260 block support modal
58 0.450 7 2.772 - - prominence
66 0.550 7 1.159 block support modal
66 0.550 7 2.772 - - prominence
75 0.750 7 REFUSED - - modal
75 0.750 7 2.772 - - prominence
85 0.850 7 REFUSED - - modal
85 0.850 7 0.403 - - prominence
41.6667 0.300 11 REFUSED - - modal
41.6667 0.300 11 0.403 - - prominence
50 0.400 11 REFUSED - - modal
50 0.400 11 2.772 - - prominence
58 0.450 11 REFUSED - - modal
58 0.450 11 1.815 - - prominence
66 0.550 11 REFUSED - - modal
66 0.550 11 0.554 - - prominence
75 0.750 11 1.865 block support modal
75 0.750 11 2.369 - - prominence
85 0.850 11 2.571 block support modal
85 0.850 11 0.454 - - prominence
- STATIC 7 REFUSED - - modal
- STATIC 7 2.974 - - prominence
- STATIC 11 REFUSED - - modal
- STATIC 11 0.554 - - prominence
SWEEP_DONE
