target_hz seg seed rate_hz reported_hz subbin block p support crit
0.30 00 7 15.360196610516613 1.512 1.526 12 0.001 12/49 6
0.40 00 7 20.480262147355486 1.512 1.526 12 0.001 12/49 6
0.50 00 7 25.600327684194358 1.512 1.527 12 0.001 12/49 6
0.60 00 7 30.720393221033227 2.369 2.362 12 0.001 14/49 6
0.75 00 7 38.40049152629153 1.512 1.526 12 0.001 12/49 6
0.90 00 7 46.080589831549844 0.806 0.799 14 0.001 14/49 6
0.30 00 11 15.360196610516613 REFUSED - - - - -
0.40 00 11 20.480262147355486 1.210 1.194 7 0.012 11/49 6
0.50 00 11 25.600327684194358 1.210 1.192 7 0.012 11/49 6
0.60 00 11 30.720393221033227 0.554 0.557 10 0.001 16/49 6
0.75 00 11 38.40049152629153 0.605 0.604 10 0.001 13/49 6
0.90 00 11 46.080589831549844 1.361 1.371 8 0.001 11/49 6
0.30 05 7 15.360196610516613 2.369 2.358 12 0.001 14/49 6
0.40 05 7 20.480262147355486 1.512 1.525 12 0.001 16/49 6
0.50 05 7 25.600327684194358 1.512 1.526 12 0.001 12/49 6
0.60 05 7 30.720393221033227 1.512 1.525 12 0.001 16/49 6
0.75 05 7 38.40049152629153 0.806 0.798 13 0.001 13/49 6
0.90 05 7 46.080589831549844 2.167 2.186 11 0.001 11/49 6
0.30 05 11 15.360196610516613 REFUSED - - - - -
0.40 05 11 20.480262147355486 REFUSED - - - - -
0.50 05 11 25.600327684194358 0.252 0.244 9 0.001 11/49 6
0.60 05 11 30.720393221033227 0.605 0.602 10 0.001 13/49 6
0.75 05 11 38.40049152629153 0.252 0.244 9 0.001 11/49 6
0.90 05 11 46.080589831549844 0.605 0.602 10 0.001 13/49 6
STATIC - 7 - 1.512 1.526 12 0.001 12/49 6
STATIC - 11 - 1.210 1.192 7 0.012 11/49 6
SWEEP_GRANADA_DONE
