looks true_hz seed reported_hz subbin sd block p support crit
128 0.300 7 0.302 0.309 0.016 31 0.001 34/49 6
128 0.400 7 0.403 0.394 0.014 18 0.001 23/49 6
128 0.450 7 1.512 1.522 0.009 12 0.001 16/49 6
128 0.550 7 1.512 1.523 0.014 11 0.001 11/49 6
128 0.750 7 0.151 0.151 0.000 8 0.001 12/49 6
128 0.850 7 1.512 1.515 0.011 12 0.001 17/49 6
128 0.300 11 0.302 0.312 0.010 14 0.001 21/49 6
128 0.400 11 1.663 1.660 0.017 9 0.001 13/49 6
128 0.450 11 0.605 0.599 0.008 15 0.001 20/49 6
128 0.550 11 1.210 1.197 0.011 12 0.001 12/49 6
128 0.750 11 2.419 2.414 0.004 11 0.001 11/49 6
128 0.850 11 0.605 0.596 0.010 6 0.034 11/49 6
128 STATIC 7 1.512 1.526 0.010 12 0.001 12/49 6
128 STATIC 11 1.210 1.192 0.002 7 0.012 11/49 6
48 0.300 7 0.301 0.318 0.008 21 0.033 24/49 20
48 0.400 7 0.251 0.253 0.015 25 0.010 26/49 20
48 0.450 7 0.301 0.294 0.009 31 0.001 32/49 20
48 0.550 7 0.853 0.852 0.014 26 0.008 27/49 20
48 0.750 7 1.004 1.003 0.017 24 0.017 24/49 20
48 0.850 7 REFUSED - - - - - -
48 0.300 11 0.151 0.151 0.000 39 0.001 39/49 20
48 0.400 11 REFUSED - - - - - -
48 0.450 11 0.602 0.601 0.013 30 0.001 31/49 20
48 0.550 11 0.151 0.151 0.000 21 0.033 24/49 20
48 0.750 11 0.753 0.764 0.010 31 0.001 31/49 20
48 0.850 11 0.151 0.151 0.000 21 0.033 27/49 20
48 STATIC 7 0.301 0.303 0.011 21 0.033 23/49 20
48 STATIC 11 0.151 0.151 0.000 23 0.019 28/49 20
SWEEP80_DONE
