target_hz seg seed rate_hz reported_hz subbin block p support crit
0.30 02 7 34.13357606098532 0.302 0.304 13 0.001 24/49 6
0.40 02 7 45.51143474798043 1.512 1.525 11 0.001 11/49 6
0.50 02 7 56.889293434975535 0.504 0.520 13 0.001 13/49 6
0.60 02 7 68.26715212197064 1.512 1.526 13 0.001 13/49 6
0.75 02 7 85.3339401524633 1.512 1.523 12 0.001 12/49 6
0.90 02 7 102.40072818295597 0.907 0.910 17 0.001 23/49 6
0.30 02 11 34.13357606098532 0.605 0.604 10 0.001 13/49 6
0.40 02 11 45.51143474798043 0.554 0.563 10 0.001 13/49 6
0.50 02 11 56.889293434975535 0.554 0.550 11 0.001 18/49 6
0.60 02 11 68.26715212197064 0.605 0.604 17 0.001 22/49 6
0.75 02 11 85.3339401524633 0.756 0.766 31 0.001 32/49 6
0.90 02 11 102.40072818295597 0.907 0.913 25 0.001 29/49 6
0.30 13 7 23.630420227639714 1.512 1.525 12 0.001 16/49 6
0.40 13 7 31.507226970186288 1.512 1.525 12 0.001 16/49 6
0.50 13 7 39.38403371273286 0.806 0.803 12 0.001 14/49 6
0.60 13 7 47.26084045527943 1.512 1.516 12 0.001 16/49 6
0.75 13 7 59.07605056909929 2.319 2.332 12 0.001 12/49 6
0.90 13 7 70.89126068291915 1.512 1.526 14 0.001 14/49 6
0.30 13 11 23.630420227639714 0.252 0.245 9 0.001 11/49 6
0.40 13 11 31.507226970186288 0.605 0.603 12 0.001 15/49 6
0.50 13 11 39.38403371273286 0.252 0.242 9 0.001 11/49 6
0.60 13 11 47.26084045527943 2.419 2.422 11 0.001 13/49 6
0.75 13 11 59.07605056909929 0.403 0.408 7 0.012 15/49 6
0.90 13 11 70.89126068291915 0.907 0.913 10 0.001 16/49 6
STATIC - 7 - 1.512 1.526 12 0.001 12/49 6
STATIC - 11 - 1.210 1.192 7 0.012 11/49 6
SWEEP_NAPLES_DONE
