kind target seg seed centre_prom median_prom
twin 0.30 - 7 0.102264 0.675824
inj 0.30 02 7 3.341128 1.214783
inj 0.30 13 7 0.178054 0.380823
twin 0.40 - 7 0.025049 0.137888
inj 0.40 02 7 7.220705 0.548873
inj 0.40 13 7 0.225324 0.183072
twin 0.50 - 7 0.018601 0.329096
inj 0.50 02 7 11.862827 0.625704
inj 0.50 13 7 0.422668 0.442173
twin 0.60 - 7 0.083635 0.168841
inj 0.60 02 7 16.435731 1.087419
inj 0.60 13 7 1.298779 0.260925
twin 0.75 - 7 1.722074 0.582545
inj 0.75 02 7 21.253063 1.799548
inj 0.75 13 7 1.403043 0.617598
twin 0.90 - 7 0.006843 0.403200
inj 0.90 02 7 28.348819 2.410260
inj 0.90 13 7 3.878532 0.993999
twin 0.30 - 11 1.069633 0.142589
inj 0.30 02 11 1.786525 0.593251
inj 0.30 13 11 1.152540 0.239434
twin 0.40 - 11 0.575976 0.299765
inj 0.40 02 11 1.522718 0.892190
inj 0.40 13 11 0.665781 0.314080
twin 0.50 - 11 0.764424 0.386312
inj 0.50 02 11 1.455607 1.158923
inj 0.50 13 11 0.697512 0.484958
twin 0.60 - 11 3.913565 0.399992
inj 0.60 02 11 4.087260 2.963348
inj 0.60 13 11 3.667365 0.612407
twin 0.75 - 11 0.207333 0.105579
inj 0.75 02 11 1.578199 1.603826
inj 0.75 13 11 0.193733 0.257972
twin 0.90 - 11 21.795782 0.424064
inj 0.90 02 11 29.142304 3.561690
inj 0.90 13 11 25.928695 1.137986
PAIRED_DONE
