rate true_hz seed reported_hz block support policy
41.6667 0.300 7 0.301 21 24/49 modal
41.6667 0.300 7 0.351 - - prominence
50 0.400 7 0.251 25 26/49 modal
50 0.400 7 0.351 - - prominence
58 0.450 7 0.301 31 32/49 modal
58 0.450 7 0.502 - - prominence
66 0.550 7 0.853 26 27/49 modal
66 0.550 7 0.351 - - prominence
75 0.750 7 1.004 24 24/49 modal
75 0.750 7 0.151 - - prominence
85 0.850 7 0.853 19 21/49 modal
85 0.850 7 0.954 - - prominence
41.6667 0.300 11 0.151 39 39/49 modal
41.6667 0.300 11 0.251 - - prominence
50 0.400 11 0.351 13 23/49 modal
50 0.400 11 0.552 - - prominence
58 0.450 11 0.602 30 31/49 modal
58 0.450 11 0.251 - - prominence
66 0.550 11 0.151 21 24/49 modal
66 0.550 11 0.552 - - prominence
75 0.750 11 0.753 31 31/49 modal
75 0.750 11 0.251 - - prominence
85 0.850 11 0.151 21 27/49 modal
85 0.850 11 0.552 - - prominence
- STATIC 7 0.301 21 23/49 modal
- STATIC 7 0.853 - - prominence
- STATIC 11 0.151 23 28/49 modal
- STATIC 11 0.552 - - prominence
SWEEP_N48_DONE
