rate true_hz seed reported_hz block support policy
41.6667 0.300 7 0.302 31 34/49 modal
41.6667 0.300 7 2.268 - - prominence
50 0.400 7 0.403 18 23/49 modal
50 0.400 7 2.268 - - prominence
58 0.450 7 1.512 12 16/49 modal
58 0.450 7 2.268 - - prominence
66 0.550 7 1.512 11 11/49 modal
66 0.550 7 2.268 - - prominence
75 0.750 7 0.151 8 12/49 modal
75 0.750 7 2.268 - - prominence
85 0.850 7 1.512 12 17/49 modal
85 0.850 7 2.268 - - prominence
41.6667 0.300 11 0.302 14 21/49 modal
41.6667 0.300 11 0.554 - - prominence
50 0.400 11 1.663 9 13/49 modal
50 0.400 11 0.554 - - prominence
58 0.450 11 0.605 15 20/49 modal
58 0.450 11 0.554 - - prominence
66 0.550 11 1.210 12 12/49 modal
66 0.550 11 0.554 - - prominence
75 0.750 11 2.419 11 11/49 modal
75 0.750 11 0.554 - - prominence
85 0.850 11 0.605 6 11/49 modal
85 0.850 11 0.554 - - prominence
- STATIC 7 1.512 12 12/49 modal
- STATIC 7 2.268 - - prominence
- STATIC 11 1.210 7 11/49 modal
- STATIC 11 0.554 - - prominence
SWEEP_PHASE_DONE
