true_hz seed reported_hz subbin sd block p support zeta onset resid
0.300 7 0.302 0.308 0.007 24 0.001 30/49 0.0051 1.24 0.496
0.400 7 0.605 0.606 0.006 10 0.001 15/49 0.0061 2.48 0.488
0.450 7 0.756 0.755 0.010 7 0.012 15/49 0.0054 1.24 0.491
0.550 7 0.454 0.457 0.007 22 0.001 25/49 0.0060 2.48 0.497
0.750 7 0.907 0.906 0.008 11 0.001 14/49 0.0047 1.24 0.487
0.850 7 1.008 1.010 0.007 16 0.001 17/49 0.0047 1.24 0.500
0.300 11 0.302 0.305 0.006 10 0.001 17/49 0.0079 1.24 0.494
0.400 11 1.058 1.056 0.010 13 0.001 15/49 0.0049 1.24 0.489
0.450 11 0.605 0.602 0.007 16 0.001 19/49 0.0052 1.24 0.476
0.550 11 1.411 1.411 0.011 6 0.034 11/49 0.0058 1.24 0.477
0.750 11 1.210 1.217 0.005 12 0.001 12/49 0.0051 1.24 0.486
0.850 11 0.605 0.612 0.006 7 0.012 16/49 0.0052 1.24 0.482
STATIC 7 2.772 2.769 0.011 9 0.001 16/49 0.0026 2.48 0.517
STATIC 11 2.520 2.516 0.009 6 0.034 11/49 0.0028 1.24 0.466
SWEEP81_DONE
