arm seed zeta onset resid lead_hz block
static 3 0.0023 2.48 0.484 0.706 9
static 5 0.0000 1.24 0.468 2.016 14
static 7 0.0026 2.48 0.517 2.772 9
static 11 0.0028 1.24 0.466 2.520 6
static 13 0.0000 1.24 0.434 3.075 11
static 17 0.0000 1.24 0.464 1.008 13
static 19 0.0000 1.24 0.400 1.310 8
static 23 0.0026 1.24 0.415 2.722 12
static 29 0.0026 1.24 0.432 3.125 11
static 31 0.0044 1.24 0.438 0.151 14
sine 3 0.0030 1.24 0.511 0.504 43
sine 5 0.0000 1.24 0.442 0.504 45
sine 7 0.0000 1.24 0.486 0.504 36
sine 11 0.0000 1.24 0.379 0.504 47
sine 13 0.0000 1.24 0.433 0.504 47
sine 17 0.0000 1.24 0.438 0.504 47
burst 3 0.0050 2.48 0.525 0.504 13
burst 5 0.0023 1.24 0.461 0.302 11
burst 7 0.0051 1.24 0.496 0.302 24
burst 11 0.0079 1.24 0.494 0.302 10
burst 13 0.0032 1.24 0.460 1.714 12
burst 17 0.0027 1.24 0.504 0.504 21
ZETA_CONTROL_DONE
