# raw tracked shifts, before detrend or spectrum
# reference=first b_shift_hz=0 pair_lag_s=0 dt_s=0.155 looks=128
window,look,centre_time_s,disp_az_px,disp_rg_px,vel_los_ms,disp_los_m,phase_rad,quality
0,0,0.0775,0,0,0,0.00136604385,-0.549699111,0.706485
0,1,0.2325,0,0,0.00233536468,0.00172802538,-0.695361289,0.706485
0,2,0.3875,0,0,-0.0183012475,-0.00110866799,0.446130487,0.706485
0,3,0.5425,0,0,0.00692184269,-3.57823733e-05,0.0143989073,0.706485
0,4,0.6975,0,0,-0.0218407563,-0.0034210996,1.37665816,0.706485
0,5,0.8525,0,0,0.00289087187,-0.00297301446,1.19634769,0.706485
0,6,1.0075,0,0,0.0231704703,0.00061840844,-0.248848944,0.706485
0,7,1.1625,0,0,-0.0532430686,-0.00763426719,3.07204625,0.706485
0,8,1.3175,0,0,0.0639783527,0.00228237748,-0.918433822,0.706485
0,9,1.4725,0,0,0.000420159764,0.00234750225,-0.944640173,0.706485
0,10,1.6275,0,0,-0.00486895705,0.00159281391,-0.64095189,0.706485
0,11,1.7825,0,0,-0.000299913133,0.00154632737,-0.622245604,0.706485
0,12,1.9375,0,0,-0.0186640652,-0.00134660273,0.541875961,0.706485
0,13,2.0925,0,0,0.0111560132,0.000382579323,-0.153950778,0.706485
0,14,2.2475,0,0,0.0407583879,0.00670012944,-2.69614712,0.706485
0,15,2.4025,0,0,-0.057837719,-0.002264717,0.911327205,0.706485
0,16,2.5575,0,0,0.0241313209,0.00147563774,-0.593799937,0.706485
0,17,2.7125,0,0,0.0260830603,0.00551851209,-2.22066165,0.706485
0,18,2.8675,0,0,-0.0398508758,-0.000658373653,0.264931035,0.706485
0,19,3.0225,0,0,0.00842347478,0.000647264938,-0.260460863,0.706485
0,20,3.1775,0,0,-0.0144987893,-0.0016000474,0.643862666,0.706485
0,21,3.3325,0,0,-0.000580786344,-0.00169006929,0.680087674,0.706485
0,22,3.4875,0,0,-0.0107864204,-0.00336196445,1.35286204,0.706485
0,23,3.6425,0,0,0.0292230548,0.00116760905,-0.469848501,0.706485
0,24,3.7975,0,0,0.0301405662,0.0058393968,-2.34978638,0.706485
0,25,3.9525,0,0,-0.0344518576,0.000499358872,-0.200943131,0.706485
0,26,4.1075,0,0,0.0103833432,0.00210877707,-0.848576627,0.706485
0,27,4.2625,0,0,-9.19621854e-06,0.00210735166,-0.848003037,0.706485
0,28,4.4175,0,0,-0.0174894798,-0.000603517711,0.242856881,0.706485
0,29,4.5725,0,0,0.00929880557,0.000837797153,-0.337131455,0.706485
0,30,4.7275,0,0,-0.0244227312,-0.00294772619,1.18617163,0.706485
0,31,4.8825,0,0,0.00782752899,-0.00173445919,0.697950271,0.706485
0,32,5.0375,0,0,0.00684213617,-0.000673928085,0.271190174,0.706485
0,33,5.1925,0,0,-0.0127210209,-0.00264568633,1.06463012,0.706485
0,34,5.3475,0,0,0.0335414087,0.00255323202,-1.02742629,0.706485
