kind seed support verdict
fitstatic 3 1 LADDER_TOO_SHORT_--_no_verdict
fitstatic 5 1 not_persistent_--_reject
fitstatic 7 1 not_persistent_--_reject
fitstatic 11 1 not_persistent_--_reject
fitstatic 13 1 LADDER_TOO_SHORT_--_no_verdict
fitstatic 17 0 no_rung_answered
fitstatic 19 1 not_persistent_--_reject
fitstatic 23 0 no_rung_answered
fitstatic 29 1 not_persistent_--_reject
fitstatic 31 4 not_persistent_--_reject
fitstatic 37 1 not_persistent_--_reject
fitstatic 41 1 not_persistent_--_reject
newstatic 43 1 LADDER_TOO_SHORT_--_no_verdict
newstatic 47 2 not_persistent_--_reject
newstatic 53 0 no_rung_answered
newstatic 59 3 not_persistent_--_reject
newstatic 61 2 not_persistent_--_reject
newstatic 67 4 not_persistent_--_reject
newstatic 71 0 no_rung_answered
newstatic 73 1 not_persistent_--_reject
newstatic 79 2 not_persistent_--_reject
newstatic 83 1 not_persistent_--_reject
newstatic 89 1 not_persistent_--_reject
newstatic 97 1 LADDER_TOO_SHORT_--_no_verdict
fitinj 3 6 STABLE_->_report
fitinj 5 6 STABLE_->_report
fitinj 7 6 STABLE_->_report
fitinj 11 6 STABLE_->_report
fitinj 13 6 STABLE_->_report
fitinj 17 6 STABLE_->_report
newinj 43 6 STABLE_->_report
newinj 47 6 STABLE_->_report
newinj 53 6 STABLE_->_report
newinj 59 6 STABLE_->_report
newinj 61 6 STABLE_->_report
newinj 67 6 STABLE_->_report
CLUSTER_DONE
