kind seed chain verdict
fitstatic 3 0 not_persistent_--_reject
fitstatic 5 0 not_persistent_--_reject
fitstatic 7 0 not_persistent_--_reject
fitstatic 11 0 not_persistent_--_reject
fitstatic 13 0 not_persistent_--_reject
fitstatic 17 0 not_persistent_--_reject
fitstatic 19 0 not_persistent_--_reject
fitstatic 23 0 not_persistent_--_reject
fitstatic 29 0 not_persistent_--_reject
fitstatic 31 4 not_persistent_--_reject
fitstatic 37 0 not_persistent_--_reject
fitstatic 41 0 not_persistent_--_reject
newstatic 43 0 not_persistent_--_reject
newstatic 47 0 not_persistent_--_reject
newstatic 53 0 not_persistent_--_reject
newstatic 59 0 not_persistent_--_reject
newstatic 61 0 not_persistent_--_reject
newstatic 67 4 not_persistent_--_reject
newstatic 71 0 not_persistent_--_reject
newstatic 73 0 not_persistent_--_reject
newstatic 79 0 not_persistent_--_reject
newstatic 83 0 not_persistent_--_reject
newstatic 89 0 not_persistent_--_reject
newstatic 97 0 not_persistent_--_reject
fitinj 3 6 STABLE_->_report
fitinj 5 6 STABLE_->_report
fitinj 7 6 STABLE_->_report
fitinj 11 6 STABLE_->_report
fitinj 13 6 STABLE_->_report
fitinj 17 6 STABLE_->_report
newinj 43 6 STABLE_->_report
newinj 47 6 STABLE_->_report
newinj 53 6 STABLE_->_report
newinj 59 6 STABLE_->_report
newinj 61 6 STABLE_->_report
newinj 67 6 STABLE_->_report
THRESHOLD_DONE
