kind seed chain p verdict
static 3 0 1.0000 no_two_rungs_agree_--_reject
static 5 0 1.0000 no_two_rungs_agree_--_reject
static 7 0 1.0000 no_two_rungs_agree_--_reject
static 11 0 1.0000 no_two_rungs_agree_--_reject
static 13 0 1.0000 no_two_rungs_agree_--_reject
static 17 0 1.0000 no_two_rungs_agree_--_reject
static 19 0 1.0000 no_two_rungs_agree_--_reject
static 23 0 1.0000 no_two_rungs_agree_--_reject
static 29 0 1.0000 no_two_rungs_agree_--_reject
static 31 4 0.0000 STABLE_->_report
static 37 0 1.0000 no_two_rungs_agree_--_reject
static 41 0 1.0000 no_two_rungs_agree_--_reject
injected 3 6 0.0000 STABLE_->_report
injected 5 6 0.0000 STABLE_->_report
injected 7 6 0.0000 STABLE_->_report
injected 11 6 0.0000 STABLE_->_report
injected 13 6 0.0000 STABLE_->_report
injected 17 6 0.0000 STABLE_->_report
LADDER_DONE
