kind seed n_looks modal_hz prominence
static 3 128 0.756 30.0
static 3 256 3.679 42.3
static 5 128 0.554 36.9
static 5 256 2.571 40.7
static 7 128 0.756 31.7
static 7 256 4.183 31.7
static 11 128 0.605 33.0
static 11 256 3.075 30.0
static 13 128 0.202 20.1
static 13 256 2.369 30.2
static 17 128 2.772 32.8
static 17 256 3.024 28.7
static 19 128 3.075 34.1
static 19 256 1.310 27.6
static 23 128 2.722 28.0
static 23 256 4.435 37.7
static 29 128 1.714 28.4
static 29 256 3.125 54.3
static 31 128 0.958 25.6
static 31 256 0.958 34.4
static 37 128 2.470 24.9
static 37 256 1.613 48.8
static 41 128 0.756 32.0
static 41 256 0.151 26.6
injected 3 128 0.504 37.9
injected 3 256 0.504 28.4
injected 5 128 0.504 38.3
injected 5 256 0.504 59.2
injected 7 128 0.504 38.0
injected 7 256 0.504 70.1
injected 11 128 0.504 37.8
injected 11 256 0.504 31.8
injected 13 128 0.504 39.4
injected 13 256 0.504 54.1
injected 17 128 0.504 35.9
injected 17 256 0.504 60.5
STAB_DONE
